"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"
"TRP2"	"TRP2"	337949	339472	"TRyPtophan requiring"	"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis" // "tryptophan biosynthesis"
"GLT1"	"GLT1"	149203	155640	"glutamate synthase (NADH) subunit"	"glutamate biosynthesis from glutamine" // "ammonia assimilation cycle I"
"HMI1"	"YOL095C"	139227	141347	"Helicase in MItochondria"	""
"NTH2"	"NTH2"	238941	241283	"neutral trehalase"	"chitin biosynthesis" // "trehalose degradation II (trehalase)"
"SNU13"	"YEL026W"	101943	102323	"Small NUclear ribonucleoprotein associated"	""
"FIG4"	"YNL325C"	28739	31378	"phosphatidylinositol 3,5-bisphosphate 5-phosphatase"	"phosphatidylinositol phosphate biosynthesis" // "3-phosphoinositide biosynthesis"
"HTL1"	"YCR020W-B"	155320	155556	"High-Temperature Lethal"	""
"TRL1"	"YJL087C"	270002	272485	"tRNA ligase"	"tRNA splicing"
"DPS1"	"YLL018C"	109902	111575	"DPS1"	""
"DPH5"	"YLR172C"	501260	502162	"diphthine synthase"	"diphthamide biosynthesis"
"HTZ1"	"YOL012C"	303579	303983	"Histone Two A Z1"	""
"COQ7"	"COQ7"	559030	559731	MONOMER3O-164	"superpathway of chorismate metabolism" // "superpathway of ubiquinol-6 biosynthesis" // "ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)" // "ubiquinol-6 biosynthesis from 4-aminobenzoate" // "ubiquinol-6 bypass biosynthesis"
"THI80"	"THI80"	601383	602342	"thiamin pyrophosphokinase"	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes)" // "thiamin diphosphate biosynthesis IV (eukaryotes)" // "thiamin salvage III"
"ALD3"	"ALD3"	599352	600872	"aldehyde dehydrogenase"	"&beta;-alanine biosynthesis" // "methylglyoxal degradation V"
"GPI1"	"YGR216C"	922633	924462	"GlycosylPhosphatidylInositol anchoring biosynthesis"	""
"PUT1"	"PUT1"	425186	426616	YLR142W-MONOMER	"citrulline biosynthesis" // "proline degradation"
"RRN11"	"YML043C"	190244	191767	"Regulation of RNA polymerase I"	""
"LCB3"	"LCB3"	158188	159417	"sphingoid base phosphate phosphatase"	"sphingolipid recycling and degradation (yeast)"
"LGE1"	"YPL055C"	453992	454990	"LarGE cells"	""
"CYS4"	"CYS4"	798543	800066	"Cys4"	"superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)" // "cysteine biosynthesis IV (fungi)" // "homocysteine and cysteine interconversion"
"OPY1"	"YBR129C"	494353	495339	"Overproduction-induced Pheromone-resistant Yeast"	""
"PRO3"	"PRO3"	201076	201936	"pyrroline-5-carboxylate reductase subunit"	"proline biosynthesis" // "arginine degradation VI (arginase 2 pathway)"
"MAP2"	"MAP2"	47363	48628	"methionine aminopeptidase 2"	""
"RPS7B"	"YNL096C"	443398	444315	"Ribosomal Protein of the Small subunit"	""
"PAN1"	"YIR006C"	365466	369908	"Poly(A)-binding protein-dependent poly(A) riboNuclease"	""
"RSM23"	"YGL129C"	267723	269075	"Ribosomal Small subunit of Mitochondria"	""
"BCS1"	"YDR375C"	1225166	1226536	"ubiquinol-cytochrome c reductase (bc1) Synthesis"	""
"RPO31"	"YOR116C"	539763	544145	"RNA POlymerase"	""
"RCN1"	"YKL159C"	153816	154451	"Regulator of CalciNeurin"	""
"VMA1"	"YDL185W"	126787	130002	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"XYL2"	"XYL2"	274141	275211	"Xylitol dehydrogenase"	"xylose metabolism" // "xylitol degradation"
"SSF1"	"YHR066W"	229335	230696	"Suppressor of ste4 (Four)"	""
"HSP12"	"YFL014W"	107256	107585	"Heat Shock Protein"	""
"DET1"	"YDR051C"	557056	558060	"Decreased Ergosterol Transport"	"gluconeogenesis" // "glycolysis"
"FMT1"	"YBL013W"	202056	203261	"Formyl-Methionyl-tRNA Transformylase"	""
"CET1"	"YPL228W"	118382	120031	"mRNA capping enzyme &beta; subunit"	"mRNA capping"
"ATP14"	"YLR295C"	721999	722373	"ATP synthase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"ASG7"	"YJL170C"	101150	101779	"a-Specific Gene"	""
"ESC1"	"YMR219W"	707133	712109	"Establishes Silent Chromatin"	""
"MNN1"	"MNN1"	153520	155808	"&alpha;-1,3-mannosyltransferase MMN1"	"protein <I>O</i>-mannosylation I (yeast)"
"THP1"	"YOL072W"	194970	196337	"Tho2/Hpr1 Phenotype"	""
"HED1"	"YDR014W-A"	477797	478285	"High copy suppressor of rED1"	""
"TUP1"	"YCR084C"	260311	262452	"deoxyThymidine monophosphate UPtake"	""
"HSK3"	"YKL138C-A"	184803	185012	"Helper of ASK1"	""
"PAU6"	"YNR076W"	781918	782280	"seriPAUperin family"	""
"PFK27"	"PFK27"	67561	68754	"6-phosphofructo-2-kinase"	"fructose 2,6-bisphosphate biosynthesis"
"CRH1"	"YGR189C"	876669	878192	"Congo Red Hypersensitive"	""
"PPZ1"	"YML016C"	239458	241536	"Protein Phosphatase Z"	""
"SVL3"	"YPL032C"	488887	491364	"Styryl dye Vacuolar Localization"	""
"PHO88"	"YBR106W"	452658	453224	"PHOsphate metabolism"	""
"COX3"	"COX3"	79213	80022	"cytochrome c oxidase subunit III"	"aerobic respiration (cytochrome c)" // "aerobic respiration (linear view)"
"NIS1"	"YNL078W"	479768	480991	"Neck protein Interacting with Septins"	""
"MCM10"	"YIL150C"	61013	62728	"MiniChromosome Maintenance"	""
"RMD9"	"YGL107C"	304333	306273	"Required for Meiotic nuclear Division"	""
"SBE2"	"YDR351W"	1178666	1181260	"Suppressor of BEm4"	""
"TMA46"	"YOR091W"	493433	494470	"Translation Machinery Associated"	""
"MYO3"	"YKL129C"	196349	200167	"MYOsin"	""
"CMR1"	"YDL156W"	174918	176486	"Changed Mutation Rate"	""
"FRE2"	"FRE2"	9091	11226	"ferric reductase"	"ethylene biosynthesis"
"BCD1"	"YHR040W"	187924	189024	"Box C/D snoRNA"	""
"RPO41"	"YFL036W"	58782	62837	"RNA POlymerase"	""
"REG1"	"YDR028C"	497835	500879	"REsistance to Glucose repression"	""
"SWH1"	"YAR042W"	192619	196185	"SWH1"	""
"TYW1"	"YPL207W"	159909	162341	"tRNA-4-demethylwyosine synthase"	"wybutosine biosynthesis" // "7-(3-amino-3-carboxypropyl)-wyosine biosynthesis"
"SEC22"	"YLR268W"	680200	680844	"SECretory"	""
"YJL144W"	"YJL144W"	146359	146673	"YJL144W"	""
"VTI1"	"YMR197C"	658545	659198	"Vps10 (Ten) Interacting"	""
"APT2"	"APT2"	1344517	1345062	"adenine phosphoribosyltransferase"	"superpathway of purine nucleosides salvage" // "salvage pathways of adenine, hypoxanthine and their nucleosides" // "adenine and adenosine salvage IV"
"CTR86"	"YCR054C"	218376	220067	"Copper TRansport protein"	""
"STL1"	"YDR536W"	1508005	1509714	"Sugar Transporter-Like protein"	""
"BRE5"	"YNR051C"	716780	718327	"BREfeldin A sensitivity"	""
"RPL40B"	"YKR094C"	617996	618750	"Ribosomal Protein of the Large subunit"	""
"GTR2"	"YGR163W"	827552	828577	"GTp binding protein Resemblance"	""
"ALG12"	"ALG12"	678799	680454	"dolichyl-<em>P</em>-Man:Man<small><sub>7</sub></small>GlcNAc<small><sub>2</sub></small>-<em>PP</em>-dolichol &alpha;-1,6-mannosyltransferase"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"TAF3"	"YPL011C"	533642	534703	"TATA binding protein-Associated Factor"	""
"TMA7"	"YLR262C-A"	669468	669662	"Translation Machinery Associated"	""
"STT4"	"YLR305C"	738161	743863	"1-phosphatidylinositol 4-kinase"	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis" // "phosphatidylinositol phosphate biosynthesis" // "3-phosphoinositide biosynthesis"
"UBC4"	"YBR082C"	406628	407169	"UBiquitin-Conjugating"	""
"CSM2"	"YIL132C"	99860	100501	"Chromosome Segregation in Meiosis"	""
"NOP2"	"YNL061W"	510540	512396	"25S rRNA (cytosine<sup>2870</sup>-<i>C</i><sup>5</sup>)-methyltransferase"	""
"GPI8"	"YDR331W"	1129588	1130823	"GlycosylPhosphatidylInositol anchor biosynthesis"	""
"MF(ALPHA)2"	"YGL089C"	344791	345153	"Mating Factor ALPHA"	""
"SLD2"	"YKL108W"	234426	235787	"Synthetically Lethal with Dpb11-1"	""
"GYP1"	"YOR070C"	455907	457820	"Gtpase-activating protein for YPt1p"	""
"TAO3"	"YIL129C"	106107	113237	"Transcriptional Activator of OCH1"	""
"RDI1"	"YDL135C"	218680	219288	"Rho GDP Dissociation Inhibitor"	""
"SKP1"	"YDR328C"	1125434	1126018	"Suppressor of Kinetochore Protein mutant"	""
"MIP6"	"YHR015W"	134554	136533	"Mex67-Interacting Protein"	""
"YKL100C"	"YKL100C"	253697	255460	"Yeast Presenilin-like Family 1"	""
"MF(ALPHA)1"	"YPL187W"	193648	194145	"Mating Factor ALPHA"	""
"FBA1"	"FBA1"	326408	327487	"aldolase"	"gluconeogenesis" // "glycolysis" // "glycolysis III (from glucose)"
"NCA3"	"YJL116C"	193860	194873	"Nuclear Control of ATPase"	""
"COS4"	"YFL062W"	6426	7565	"COnserved Sequence"	""
"AMD2"	"AMD2"	946807	948456	"amidase"	"NAD salvage pathway"
"GPB2"	"YAL056W"	39259	41901	"GPB2"	""
"GNP1"	"YDR508C"	1466453	1468444	"GlutamiNe Permease"	""
"EST1"	"YLR233C"	607425	609524	"Ever Shorter Telomeres"	""
"ECM4"	"YKR076W"	582283	583395	"ExtraCellular Mutant"	""
"HOT1"	"YMR172W"	605981	608140	"High-Osmolarity-induced Transcription"	""
"ALG9"	"ALG9"	235996	237663	"Dol-PP-GlcNAc2:Man6:Man transferase"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"PMP1"	"YCR024C-A"	162945	163067	"Plasma Membrane Proteolipid"	""
"VMA6"	"YLR447C"	1026856	1027893	"VMA6"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"MRPL50"	"YNR022C"	669774	670193	"Mitochondrial Ribosomal Protein, Large subunit"	""
"AFT1"	"YGL071W"	372012	374084	"Activator of Ferrous Transport"	""
"CAF130"	"YGR134W"	757770	761138	"CCR4 Associated Factor"	""
"AKL1"	"YBR059C"	356861	360187	"Ark family Kinase-Like protein"	""
"MBF1"	"YOR298C-A"	877230	877685	"Multiprotein Bridging Factor"	""
"HHF2"	"YNL030W"	576727	577038	"Histone H Four"	""
"SEC24"	"YIL109C"	157385	160165	"SECretory"	""
"TOM6"	"YOR045W"	413852	414037	"Translocase of the Outer Mitochondrial membrane"	""
"SRB7"	"YDR308C"	1078027	1078449	"Suppressor of RNA polymerase B"	""
"NUP84"	"YDL116W"	251566	253746	"NUclear Pore"	""
"YPR159C-A"	"YPR159C-A"	860314	860415	"YPR159C-A"	""
"EFM1"	"YHL039W"	21783	23540	"Elongation Factor Methyltransferase"	""
"SMY1"	"YKL079W"	286603	288573	"Suppressor of MYo2-66"	""
"REV3"	"YPL167C"	232593	237107	"REVersionless"	""
"ADO1"	"ADO1"	623581	624603	"adenosine kinase"	"superpathway of purine nucleosides salvage" // "salvage pathways of adenine, hypoxanthine and their nucleosides" // "adenine and adenosine salvage VI"
"KHA1"	"YJL094C"	251821	254442	"KHA1"	""
"MEI4"	"YER044C-A"	238460	239774	"MEIosis-specific"	""
"HEM12"	"HEM12"	551860	552948	"uroporphyrinogen decarboxylase"	"superpathway of heme biosynthesis" // "heme biosynthesis"
"GIP4"	"YAL031C"	84749	87031	"Glc7 Interacting Protein"	""
"SLD5"	"YDR489W"	1431012	1431896	"Synthetic Lethality with Dpb11-1"	""
"SEC13"	"YLR208W"	559551	560444	"SECretory"	""
"MRS4"	"YKR052C"	532550	533464	"Mitochondrial RNA Splicing"	""
"OSW5"	"YMR148W"	560366	560812	"Outer Spore Wall"	""
"SCW10"	"SCW10"	879063	880232	"glucosidase"	""
"FRM2"	"YCL026C-A"	74704	75285	"Fatty acid Repression Mutant"	""
"SPP382"	"YLR424W"	973395	975521	"Suppressor of PrP38 #2"	""
"SNO2"	"YNL334C"	12208	12876	"SNZ proximal Open reading frame"	""
"RPT6"	"YGL048C"	410069	411286	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	""
"CLB6"	"YGR109C"	705359	706501	"CycLin B"	""
"HMT1"	"YBR034C"	304930	305976	"HnRNP MethylTransferase"	""
"PIP2"	"YOR363C"	1020222	1023212	"Peroxisome Induction Pathway"	""
"MRP7"	"YNL005C"	621313	622428	"Mitochondrial Ribosomal Protein"	""
"AIR1"	"YIL079C"	210923	212005	"Arginine methyltransferase-Interacting RING finger protein"	""
"BUB3"	"YOR026W"	379781	380806	"Budding Uninhibited by Benzimidazole"	""
"ZIP1"	"YDR285W"	1032436	1035063	"molecular ZIPper"	""
"SRP14"	"YDL092W"	292781	293221	"Signal Recognition Particle"	""
"SKI3"	"YPR189W"	912664	916962	"SuperKIller"	""
"OPI1"	"YHL020C"	66242	67456	"OverProducer of Inositol"	""
"ASK1"	"YKL052C"	339668	340546	"Associated with Spindles and Kinetochores"	""
"PPT2"	"YPL148C"	272294	272815	"Phosphopantetheine:Protein Transferase"	"acyl carrier protein activation"
"QCR8"	"QCR8"	106434	106718	"ubiquinol cytochrome C reductase subunit 8"	"aerobic respiration (cytochrome c)" // "aerobic respiration (linear view)"
"LYS21"	"LYS21"	227393	228715	"homocitrate synthase"	"L-lysine biosynthesis IV"
"PAB1"	"YER165W"	510373	512106	"Poly(A) Binding protein"	""
"PRY3"	"YJL078C"	291336	293981	"Pathogen Related in Yeast"	""
"DEP1"	"YAL013W"	129270	130487	"Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"	""
"SDC1"	"YDR469W"	1399015	1399542	"Set1c, homologue of Dpy30 from C.elegans"	""
"SKG3"	"YLR187W"	524865	527945	"Suppressor of lethality of Kex2 Gas1 double null mutant"	""
"BCH2"	"YKR027W"	491364	493661	"Bud7 and Chs6 Homolog"	""
"ECM16"	"YMR128W"	523696	527499	"ExtraCellular Mutant"	""
"GCV2"	"GCV2"	637500	640604	"glycine decarboxylase complex P subunit"	"folate interconversions" // "folate transformations" // "glycine biosynthesis II" // "glycine cleavage"
"MGR1"	"YCL044C"	47111	48364	"Mitochondrial Genome Required"	""
"SKI2"	"YLR398C"	915156	919019	"SuperKIller"	""
"SKP2"	"YNL311C"	49397	51688	"homology with human SKP2"	""
"GET1"	"YGL020C"	457163	457870	"Guided Entry of Tailanchored proteins"	""
"DBF2"	"YGR092W"	668189	669907	"DumbBell Forming"	""
"DSF2"	"YBR007C"	248806	251016	"Deletion Suppressor of mptFive/pufFive mutation"	""
"RPA43"	"YOR340C"	959202	960182	"RNA Polymerase A"	""
"ELP6"	"YMR312W"	898405	899226	"ELongator Protein"	""
"RPL34B"	"YIL052C"	256226	257063	"Ribosomal Protein of the Large subunit"	""
"DNL4"	"YOR005C"	334509	337343	"DNA Ligase"	""
"SWM1"	"YDR260C"	976717	977229	"Spore Wall Maturation"	""
"BDF2"	"YDL070W"	331024	332940	"BromoDomain Factor"	""
"MRP2"	"YPR166C"	876282	876629	"Mitochondrial Ribosomal Protein"	""
"YRF1-3"	"YGR296W"	1084864	1090591	"YRF1-3"	""
"TFA1"	"YKL028W"	385758	387206	"Transcription Factor a, subunit 1"	""
"SPO19"	"YPL130W"	304387	305058	"SPOrulation"	""
"VTC4"	"VTC4"	411234	413399	"polyphosphate synthetase"	""
"ADH7"	"ADH7"	309070	310155	"Alcohol DeHydrogenase"	""
"FTR1"	"YER145C"	460526	461740	"Fe TRansporter"	""
"PEP8"	"YJL053W"	335898	337037	"carboxyPEPtidase Y-deficient"	""
"UTR4"	"YEL038W"	80462	81145	MONOMER3O-175	"methionine salvage pathway"
"UTP6"	"YDR449C"	1357580	1358902	"U Three Protein"	""
"SMD3"	"YLR147C"	434158	434463	"SMD3"	""
"MRPL13"	"YKR006C"	450423	451217	"Mitochondrial Ribosomal Protein, Large subunit"	""
"YKU80"	"YMR106C"	478301	480190	"Yeast KU protein"	""
"YML082W"	"YML082W"	101862	103811	"putative cystathionine &gamma;-synthase YML082W"	"superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)" // "cysteine biosynthesis IV (fungi)" // "homocysteine and cysteine interconversion"
"BUD3"	"YCL014W"	96281	101191	"BUD site selection"	""
"SMX2"	"YFL017W-A"	103699	103932	"SMX2"	""
"MID1"	"YNL291C"	84169	85815	"Mating pheromone-Induced Death"	""
"TEL1"	"YBL088C"	51019	59382	"TELomere maintenance"	""
"UPF3"	"YGR072W"	634304	635467	"UP Frameshift"	""
"NAM2"	"YLR382C"	882067	884751	"Nuclear Accommodation of Mitochondria"	"tRNA charging"
"COT1"	"YOR316C"	906236	907555	"CObalt Toxicity"	""
"HAS1"	"YMR290C"	850074	851591	"Helicase Associated with Set1"	""
"CAP2"	"YIL034C"	289226	290089	"CAPping"	""
"CTR9"	"YOL145C"	49555	52788	"Cln Three (CLN3) Requiring"	""
"MRPL7"	"YDR237W"	936615	937493	"Mitochondrial Ribosomal Protein, Large subunit"	""
"NPC2"	"YDL046W"	371240	371761	"Niemann Pick type C homolog"	""
"KAR3"	"YPR141C"	815734	817923	"KARyogamy"	""
"APM4"	"YOL062C"	210520	211995	"clathrin Adaptor Protein complex Medium chain"	""
"RPL14A"	"YKL006W"	431906	432720	"Ribosomal Protein of the Large subunit"	""
"YTA7"	"YGR270W"	1027370	1031509	"Yeast Tat-binding Analog"	""
"GUT2"	"GUT2"	51759	53708	"glycerol-3-phosphate dehydrogenase"	"glycerol degradation I" // "glycerol-3-phosphate shuttle" // "glycerophosphodiester degradation"
"PEX25"	"YPL112C"	337436	338620	"PEroXisome related"	""
"RSP5"	"YER125W"	410189	412618	"Reverses Spt- Phenotype"	""
"PGS1"	"PGS1"	109105	110670	"phosphatidylglycerolphosphate synthase"	"cardiolipin biosynthesis" // "phosphatidylglycerol biosynthesis"
"YPS1"	"YLR120C"	386511	388220	"YaPSin"	""
"VPS53"	"YJL029C"	388385	390853	"Vacuolar Protein Sorting"	""
"NAM7"	"YMR080C"	426712	429627	"Nuclear Accommodation of Mitochondria"	""
"SIP1"	"YDR422C"	1315326	1317773	"SNF1-Interacting Protein"	""
"YBL111C"	"YBL111C"	2907	5009	"YBL111C"	""
"ADD66"	"YKL206C"	49006	49809	"Alpha1-proteinase inhibitor-Degradation Deficient"	""
"ALP1"	"YNL270C"	135940	137661	"ALP1"	""
"ILV5"	"ILV5"	838066	839253	"acetohydroxyacid reductoisomerase"	"valine biosynthesis" // "superpathway of leucine, valine, and isoleucine biosynthesis" // "isoleucine biosynthesis"
"TFC4"	"YGR047C"	586392	589469	"Transcription Factor class C"	""
"CDC26"	"YFR036W"	226963	227337	"Cell Division Cycle"	""
"UAF30"	"YOR295W"	869208	869894	"Upstream Activation Factor subunit"	""
"SKT5"	"YBL061C"	105316	107406	"SKT5"	""
"TIR3"	"YIL011W"	333727	334536	"TIp1-Related"	""
"DCR2"	"YLR361C"	847388	849124	"Dose-dependent Cell cycle Regulator"	""
"UPC2"	"YDR213W"	889751	892492	"UPtake Control"	""
"RRN9"	"YMR270C"	805326	806423	"Regulation of RNA polymerase I"	""
"CLB5"	"YPR120C"	773875	775182	"CycLin B"	""
"SMF1"	"YOL122C"	89692	91419	"Suppressor of Mitochondria import Function"	""
"HIR3"	"YJR140C"	690750	695696	"HIstone Regulation"	""
"OSH2"	"YDL019C"	417663	421514	"OxySterol binding protein Homolog"	""
"IMD2"	"IMD2"	554396	555967	"IMP dehydrogenase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "guanosine ribonucleotides <i>de novo</i> biosynthesis"
"RPP2A"	"YOL039W"	254297	254617	"Ribosomal Protein P2 Alpha"	""
"MAM1"	"YER106W"	372326	373234	"Monopolar microtubule Attachment during Meiosis I"	""
"FMP43"	"YGR243W"	977336	977776	"Found in Mitochondrial Proteome"	""
"HRT3"	"YLR097C"	336231	337265	"High level expression Reduces Ty3 transposition"	""
"RLM1"	"YPL089C"	379120	381150	"Resistance to Lethality of MKK1P386 overexpression"	""
"AEP1"	"YMR064W"	397903	399459	"ATPase ExPression"	""
"POP7"	"POP7"	571468	571890	"ribonuclease P"	""
"SAF1"	"YBR280C"	762784	764697	"SCF Associated Factor"	""
"EST3"	"YIL009C-A"	335666	336212	"Ever Shorter Telomeres"	""
"NRD1"	"YNL251C"	172588	174315	"Nuclear pre-mRNA Down-regulation"	""
"DIT2"	"YDR402C"	1272234	1273703	"DITyrosine"	""
"SNU71"	"YGR013W"	514554	516416	"Small NUclear ribonucleoprotein associated"	""
"MTR2"	"YKL186C"	92744	93298	"Mrna TRansport"	""
"VPH1"	"YOR270C"	828052	830574	"Vacuolar pH"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"MAP1"	"MAP1"	625168	626331	"methionine aminopeptidase"	""
"YHR213W"	"YHR213W"	539151	539747	"YHR213W"	""
"UBP6"	"YFR010W"	165067	166566	"UBiquitin-specific Protease"	""
"HST4"	"YDR191W"	842337	843449	"Homolog of SIR Two (SIR2)"	""
"MRPL16"	"YBL038W"	146187	146885	"Mitochondrial Ribosomal Protein, Large subunit"	""
"SNT309"	"YPR101W"	730492	731019	"Synthetic lethal to prp NineTeen mutation"	""
"RPS25B"	"YLR333C"	795573	795899	"Ribosomal Protein of the Small subunit"	""
"NNF1"	"YJR112W"	637030	637635	"Necessary for Nuclear Function"	""
"RPL20A"	"YMR242C"	753225	754220	"Ribosomal Protein of the Large subunit"	""
"DYS1"	"DYS1"	232133	233296	"deoxyhypusine synthase"	"hypusine biosynthesis"
"IZH4"	"YOL101C"	126982	127920	"Implicated in Zinc Homeostasis"	""
"GET2"	"YER083C"	326174	327031	"Guided Entry of Tailanchored proteins"	""
"VMA9"	"YCL005W-A"	107023	107417	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"EMP46"	"YLR080W"	287916	289250	"EMP46"	""
"ESC8"	"YOL017W"	292529	294673	"Establishes Silent Chromatin"	""
"SUB1"	"YMR039C"	348644	349522	"SUppressor of TFIIB mutations"	""
"TOS2"	"YGR221C"	937124	938992	"Target Of Sbf"	""
"RGD1"	"YBR260C"	732639	734639	"Related GAP Domain"	""
"TIM50"	"YPL063W"	429939	431369	"Translocase of the Inner Mitochondrial membrane"	""
"PDR16"	"YNL231C"	215987	217042	"Pleiotropic Drug Resistance"	""
"GAL7"	"GAL7"	274427	275527	"GAL7"	"D-galactose degradation V (Leloir pathway)"
"RTG2"	"YGL252C"	25718	27484	"ReTroGrade regulation"	""
"STS1"	"YIR011C"	377287	378246	"Sec Twenty-three Suppressor 1"	""
"CLP1"	"YOR250C"	800970	802307	"CLeavage/Polyadenylation factor Ia subunit"	""
"YRA1"	"YDR381W"	1236558	1238004	"Yeast RNA Annealing protein"	""
"CTF8"	"YHR191C"	486230	486631	"Chromosome Transmission Fidelity"	""
"PIR1"	"YKL164C"	141794	142819	"Protein containing Internal Repeats"	""
"HSP42"	"YDR171W"	806621	807748	"Heat Shock Protein"	""
"PCD1"	"PCD1"	441715	442737	"peroxisomal nudix hydrolase"	""
"NOT5"	"YPR072W"	690107	691789	"NOT5"	""
"CDC4"	"YFL009W"	116145	118484	"Cell Division Cycle"	""
"EMC2"	"YJR088C"	586495	587373	"ER Membrane protein Complex"	""
"APN2"	"YBL019W"	184353	185915	"APurinic/apyrimidinic eNdonuclease"	""
"PRS3"	"PRS3"	80654	81616	"ribose-phosphate pyrophosphokinase"	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes)" // "PRPP biosynthesis"
"IMH1"	"YLR309C"	749034	751769	"shares with Integrins and Myosins significant Homology"	""
"FCY2"	"YER056C"	266512	268113	"FluoroCYtosine resistance"	""
"MRE11"	"YMR224C"	718575	720653	"Meiotic REcombination"	""
"FRS1"	"YLR060W"	260979	262766	"phenylalanyl (F)-tRNA Synthetase"	""
"AVO1"	"YOL078W"	181682	185212	"Adheres VOraciously (to TOR2)"	""
"UBC7"	"YMR022W"	318680	319177	"E2 ubiquitin-conjugating enzyme UBC7"	""
"KIN82"	"YCR091W"	274404	276566	"protein KINase"	""
"VHC1"	"YBR235W"	686901	690263	"Vacuolar protein Homologous to CCC family"	""
"KSH1"	"YNL024C-A"	586602	586820	"KSH (similar to the Hungarian word for \"small\")"	""
"RTT106"	"YNL206C"	256788	258155	"Regulator of Ty1 Transposition"	""
"SNG1"	"YGR197C"	892497	894140	"SNG1"	""
"SAP4"	"YGL229C"	64503	66959	"Sit4 Associated Protein"	""
"MET31"	"YPL038W"	480535	481068	"METhionine requiring"	""
"ISU2"	"YOR226C"	761614	762084	"ISU2 [Fe-s} cluster scaffold protein monomer"	"iron-sulfur cluster biosynthesis"
"CYC3"	"CYC3"	68716	69525	"cytochrome c heme lyase"	""
"CDC23"	"YHR166C"	437170	439050	"Cell Division Cycle"	""
"UBP7"	"YIL156W"	48091	51306	"UBiquitin-specific Protease"	""
"SWI5"	"YDR146C"	748613	750742	"SWItching deficient"	""
"GGA1"	"YDR358W"	1190059	1191732	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	""
"MSF1"	"YPR047W"	657529	658938	"Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)"	"tRNA charging"
"MRPL31"	"YKL138C"	185286	185681	"Mitochondrial Ribosomal Protein, Large subunit"	""
"RPA12"	"YJR063W"	555195	555572	"RNA Polymerase A"	""
"GLG1"	"GLG1"	552770	554620	"glycogenin glucosyltransferase"	"glycogen biosynthesis"
"XKS1"	"XKS1"	886073	887875	"xylulokinase"	"xylulose degradation" // "xylitol degradation"
"HAC1"	"YFL031W"	75179	76147	"Homologous to Atf/Creb1"	""
"EDC2"	"YER035W"	222639	223076	"Enhancer of mRNA DeCapping"	""
"TDA8"	"YAL064C-A"	13363	13743	"Topoisomerase I Damage Affected"	""
"RAD5"	"YLR032W"	204991	208500	"RADiation sensitive"	""
"MCM5"	"YLR274W"	691555	693882	"MiniChromosome Maintenance"	""
"MSC1"	"YML128C"	15135	16676	"Meiotic Sister-Chromatid recombination"	""
"RAD14"	"YMR201C"	665845	667044	"RADiation sensitive"	""
"ERV15"	"YBR210W"	645550	645978	"ER Vesicle Protein"	""
"BUD31"	"YCR063W"	228318	228791	"BUD site selection"	""
"YNL181W"	"YNL181W"	298335	299558	"YNL181W"	""
"HOL1"	"YNR055C"	728426	730186	"HistidinOl"	""
"YPT32"	"YGL210W"	93792	94460	"Yeast Protein Two"	""
"MSM1"	"YGR171C"	840824	842551	"Mitochondrial aminoacyl-tRNA Synthetase, Methionine"	"tRNA charging"
"BFR1"	"YOR198C"	718653	720065	"BreFeldin A Resistance"	""
"SWI1"	"YPL016W"	521014	524958	"SWItching deficient"	""
"DAS2"	"YDR020C"	485746	486444	"uridine kinase"	"pyrimidine ribonucleosides salvage I" // "salvage pathways of pyrimidine ribonucleotides"
