"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000002914"	"YDR506C"	"S. cerevisiae"	"GMC1"	"Grand Meiotic recombination Cluster"	"Protein involved in meiotic progression"	"Protein involved in meiotic progression; mutants are delayed in meiotic nuclear division and are defective in synaptonemal complex assembly; possible membrane-localized protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"	"Verified"	NA	NA	"3194-YDR506C"	NA
"S000002915"	"YDR507C"	"S. cerevisiae"	"GIN4"	"Growth Inhibitory"	"Protein kinase involved in bud growth and assembly of the septin ring"	"Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication"	"Verified"	"Protein kinase involved in septin ring assembly and budding cell bud growth; localizes to the bud neck|uniprot_proteome=UP000002311"	NA	"3195-YDR507C_NumOfGenes_2"	NA
"S000002916"	"YDR508C"	"S. cerevisiae"	"GNP1"	"GlutamiNe Permease"	"High-affinity glutamine permease"	"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"	"Verified"	NA	NA	"3196-YDR508C_NumOfGenes_2"	NA
"S000002917"	"YDR509W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3197-YDR509W"	NA
"S000002918"	"YDR510W"	"S. cerevisiae"	"SMT3"	"Suppressor of Mif Two"	"Ubiquitin-like protein of the SUMO family"	"Ubiquitin-like protein of the SUMO family; conjugated to lysine residues of target proteins; associates with transcriptionally active genes; regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics; human homolog SUMO1 can complement yeast null mutant"	"Verified"	"Ubiquitin-like (SUMO) protein modifier; conjugated to target proteins via isopeptide bond formation between the carboxyl terminus and the epsilon-amino group of a lysine residue of the target protein during the process of sumoylation; localizes to the nucleus, the septin ring, and condensed chromosomes during meiosis I|uniprot_proteome=UP000002311"	"Essential gene; reduction-of-function mutations cause increased telomere length, sensitivity to MMS, and decreased competitive fitness; overexpression results in slow growth, increased glucose consumption and ethanol accumulation"	"3199-YDR510W_NumOfGenes_2"	NA
"S000002919"	"YDR511W"	"S. cerevisiae"	"SDH7"	"Succinate DeHydrogenase"	"Mitochondrial protein involved in assembly of succinate dehydrogenase"	"Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family"	"Verified"	"Protein involved in gluconeogenisis regulation and carbon utilization; localized to mitochondrial intermembrane space|uniprot_proteome=UP000002311"	NA	"3200-YDR511W_NumOfGenes_3"	NA
"S000002920"	"YDR512C"	"S. cerevisiae"	"EMI1"	"Early Meiotic Induction"	"Non-essential protein of unknown function"	"Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation; contains twin cysteine-x9-cysteine motifs; deletion affects mitochondrial morphology"	"Verified"	NA	NA	"3201-YDR512C_NumOfGenes_2"	NA
"S000002921"	"YDR513W"	"S. cerevisiae"	"GRX2"	"GlutaRedoXin"	"Cytoplasmic glutaredoxin"	"Cytoplasmic glutaredoxin; thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; GRX2 has two in-frame start codons resulting in a shorter isoform that is retained in the cytosol and a longer form translocated to the mitochondrial matrix; GRX2 has a paralog, GRX1, that arose from the whole genome duplication"	"Verified"	NA	NA	"3202-YDR513W_NumOfGenes_2"	NA
"S000002922"	"YDR514C"	"S. cerevisiae"	NA	NA	"Protein of unknown function that localizes to mitochondria"	"Protein of unknown function that localizes to mitochondria; overexpression affects endocytic protein trafficking; YDR514C has a paralog, GFD2, that arose from the whole genome duplication"	"Verified"	"Protein whose biological role is unknown; localizes to the mitochondrion and to the nucleus in a large-scale study|uniprot_proteome=UP000002311"	NA	"3203-YDR514C_NumOfGenes_2"	NA
"S000002923"	"YDR515W"	"S. cerevisiae"	"SLF1"	"SuLFide production"	"RNA binding protein that associates with polysomes"	"RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts; SLF1 has a paralog, SRO9, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"3204-YDR515W_NumOfGenes_2"	NA
"S000002924"	"YDR516C"	"S. cerevisiae"	"EMI2"	"Early Meiotic Induction"	"Non-essential protein of unknown function"	"Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	"Verified"	"Cytoplasmic protein implicated in sporulation and transcription regulation|uniprot_proteome=UP000002311"	NA	"3205-YDR516C_NumOfGenes_2"	NA
"S000002925"	"YDR517W"	"S. cerevisiae"	"GRH1"	"GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog"	"Acetylated cis-Golgi protein, involved in ER to Golgi transport"	"Acetylated cis-Golgi protein, involved in ER to Golgi transport; homolog of human GRASP65; forms a complex with the coiled-coil protein Bug1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"3206-YDR517W"	NA
"S000002926"	"YDR518W"	"S. cerevisiae"	"EUG1"	"ER protein Unnecessary for Growth"	"Protein disulfide isomerase of the endoplasmic reticulum lumen"	"Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER"	"Verified"	NA	NA	"3207-YDR518W"	NA
"S000002927"	"YDR519W"	"S. cerevisiae"	"FPR2"	"FKBP Proline Rotamase"	"Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase)"	"Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress; mutation is functionally complemented by human FKBP2"	"Verified"	NA	"Non-essential gene; null mutant is sensitive to freeze-thaw treatment, also shows sensitivity to heat and 5-fluorouracil; null mutant is sensitive to human huntingtin protein"	"3208-YDR519W"	NA
"S000002928"	"YDR520C"	"S. cerevisiae"	"URC2"	"URacil Catabolism"	"Putative Zn(II)2Cys6 motif containing transcription factor"	"Putative Zn(II)2Cys6 motif containing transcription factor; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; similar to S. kluyveri Urc2p involved in uracil catabolism"	"Uncharacterized"	NA	NA	"3209-YDR520C_NumOfGenes_2"	NA
"S000002929"	"YDR521W"	"S. cerevisiae"	NA	NA	"Dubious ORF that overlaps YDR520C"	"Dubious ORF that overlaps YDR520C; mutant increases expression of PIS1 and RPL3 in glycerol"	"Dubious"	NA	NA	"3209-YDR520C_NumOfGenes_2"	"find panID based on not collapsed gene"
"S000002930"	"YDR522C"	"S. cerevisiae"	"SPS2"	"SPorulation Specific"	"Protein expressed during sporulation"	"Protein expressed during sporulation; SPS2 has a paralog, SPS22, that arose from the whole genome duplication; redundant with Sps22p for organization of the beta-glucan layer of the spore wall; S. pombe ortholog is a spore wall component"	"Verified"	NA	NA	"3210-YDR522C"	NA
"S000002931"	"YDR523C"	"S. cerevisiae"	"SPS1"	"SPorulation Specific"	"Putative protein serine/threonine kinase"	"Putative protein serine/threonine kinase; localizes to the nucleus and cytoplasm; required for efficient spore packaging, prospore membrane development and closure and localization of enzymes involved in spore wall synthesis; interacts with and required for Ssp1p phosphorylation and turnover; member of the GCKIII subfamily of STE20 kinases; multiply phosphorylated on S/T residues; interacts with 14-3-3 proteins, Bmh1p and Bmh2p; expressed at the end of meiosis"	"Verified"	NA	NA	"3211-YDR523C"	NA
"S000002932"	"YDR524C"	"S. cerevisiae"	"AGE1"	"Arf Gap with Effector function(s)"	"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector"	"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector; involved in the secretory and endocytic pathways; contains C2C2H2 cysteine/histidine motif"	"Verified"	"A GTPase activator that binds phospholipids; involved in ER to Golgi vesicle-mediated transport; localized to the endosome and trans-Golgi network|uniprot_proteome=UP000002311"	"Non-essential gene; in large-scale studies, null mutant shows sensitivity to cycloheximide, streptomycin and glyoxal; heterozygous null mutation in diploid causes chromosome instability"	"3212-YDR524C"	NA
"S000002933"	"YDR525W"	"S. cerevisiae"	"API2"	"APIcal"	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; not conserved in closely related Saccharomyces species; 26% of ORF overlaps the dubious ORF YDR524C-A; insertion mutation in a cdc34-2 mutant background causes altered bud morphology"	"Uncharacterized"	NA	"Non-essential gene; insertions within the region cause sensitivity to Calcofluor White and staurosporine; in large-scale studies null mutations cause decreased competitive fitness and increased sensitivity to chitosan, Congo Red, arsenite"	"3216-YDR525W"	NA
"S000002934"	"YDR526C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3218-YDR527W_NumOfGenes_2"	"find panID based on not collapsed gene"
"S000002935"	"YDR527W"	"S. cerevisiae"	"RBA50"	"RNA polymerase II (B) Associated protein"	"Protein involved in transcription"	"Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1"	"Verified"	NA	NA	"3218-YDR527W_NumOfGenes_2"	NA
"S000002936"	"YDR528W"	"S. cerevisiae"	"HLR1"	"Homolog of LRe1"	"Protein involved in regulation of cell wall composition and integrity"	"Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog, LRE1, that arose from the whole genome duplication"	"Verified"	NA	NA	"3219-YDR528W"	NA
"S000002937"	"YDR529C"	"S. cerevisiae"	"QCR7"	"ubiQuinol-cytochrome C oxidoReductase"	"Subunit 7 of ubiquinol cytochrome-c reductase (Complex III)"	"Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly"	"Verified"	NA	NA	"3220-YDR529C"	NA
"S000002938"	"YDR530C"	"S. cerevisiae"	"APA2"	"AP4A phosphorylase"	"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase II"	"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase II; AP4A phosphorylase involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; APA2 has a paralog, APA1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant shows sensitivity to myriocin and small vacuolar fragmentation; in large-scale studies homozygous null mutant diploid is sensitive to soraphen A and cerulenin"	"3221-YDR530C"	NA
"S000002939"	"YDR531W"	"S. cerevisiae"	"CAB1"	"Coenzyme A Biosynthesis"	"Pantothenate kinase, ATP:D-pantothenate 4'-phosphotransferase"	"Pantothenate kinase, ATP:D-pantothenate 4'-phosphotransferase; catalyzes the first committed step in the universal biosynthetic pathway for synthesis of coenzyme A (CoA); transcriptionally regulated by Upc2p via a sterol response element"	"Verified"	"Pantothenate kinase involved in coenzyme A biosynthetic process; localizes to the cytoplasm and nucleus in high-throughput studies|uniprot_proteome=UP000002311"	NA	"3222-YDR531W"	NA
"S000002940"	"YDR532C"	"S. cerevisiae"	"KRE28"	NA	"Subunit of a kinetochore-microtubule binding complex"	"Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Spc105p; modified by sumoylation"	"Verified"	"Subunit of the condensed chromosome kinetochore whose biological role is unknown; localizes to the centromeric region of the chromosome; colocalizes with the spindle pole body in a large-scale study|uniprot_proteome=UP000002311"	NA	"3223-YDR532C"	NA
"S000002941"	"YDR533C"	"S. cerevisiae"	"HSP31"	"Heat-Shock Protein"	"Methylglyoxalase that converts methylglyoxal to D-lactate"	"Methylglyoxalase that converts methylglyoxal to D-lactate; involved in oxidative stress resistance, diauxic shift, and stationary phase survival; has similarity to E. coli Hsp31 and C. albicans Glx3p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease and cancer; exists as a dimer and contains a putative metal-binding site; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"3224-YDR533C_NumOfGenes_2"	NA
"S000002942"	"YDR534C"	"S. cerevisiae"	"FIT1"	"Facilitator of Iron Transport"	"Mannoprotein that is incorporated into the cell wall"	"Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall"	"Verified"	NA	NA	"3225-YDR534C_NumOfGenes_2"	NA
"S000002943"	"YDR535C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YDR535C is not an essential gene"	"Dubious"	NA	NA	"3226-YDR535C"	NA
"S000002944"	"YDR536W"	"S. cerevisiae"	"STL1"	"Sugar Transporter-Like protein"	"Glycerol proton symporter of the plasma membrane"	"Glycerol proton symporter of the plasma membrane; subject to glucose-induced inactivation, strongly but transiently induced when cells are subjected to osmotic shock"	"Verified"	"Solute:proton symporter involved in glycerol transport; localizes to the plasma membrane|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is sensitive to heat; overexpression increases respiratory growth rate; in systematic studies null mutation lowers competitive fitness"	"3227-YDR536W"	NA
"S000002945"	"YDR537C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF PAD1/YDR538W"	"Dubious"	NA	NA	"3228-YDR538W_NumOfGenes_2"	"find panID based on not collapsed gene"
"S000002946"	"YDR538W"	"S. cerevisiae"	"PAD1"	"Phenylacrylic Acid Decarboxylase"	"Phenylacrylic acid decarboxylase"	"Phenylacrylic acid decarboxylase; confers resistance to cinnamic acid, decarboxylates aromatic carboxylic acids to the corresponding vinyl derivatives; also has mRNA binding activity; homolog of E. coli UbiX; co-overproduction of Pad1p and Fdc1p greatly increases cinnamic acid decarboxylase activity"	"Verified"	NA	NA	"3228-YDR538W_NumOfGenes_2"	NA
"S000002947"	"YDR539W"	"S. cerevisiae"	"FDC1"	"Ferulic acid DeCarboxylase"	"Ferulic acid decarboxylase, also active on p-coumaric acid"	"Ferulic acid decarboxylase, also active on p-coumaric acid; essential for decarboxylation of aromatic carboxylic acids to corresponding vinyl derivatives; co-overproduction of Pad1p and Fdc1p greatly increases cinnamic acid decarboxylase activity; structure implicates Glu285 as the general base in the nonoxidative decarboxylation reaction catalyzed by Fdc1p; homolog of E. coli UbiD; GFP-fusion protein localizes to cytoplasm"	"Verified"	NA	NA	"3229-YDR539W"	NA
"S000002948"	"YDR540C"	"S. cerevisiae"	"IRC4"	"Increased Recombination Centers"	"Protein of unknown function"	"Protein of unknown function; null mutant displays increased levels of spontaneous Rad52p foci; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus"	"Verified"	NA	NA	"3230-YDR540C"	NA
"S000002949"	"YDR541C"	"S. cerevisiae"	NA	NA	"Aldehyde reductase"	"Aldehyde reductase; substrates include both aromatic and aliphatic aldehydes; uses NADPH as cofactor; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"	"Verified"	"Aldehyde reductase with a role in detoxifying furfural|uniprot_proteome=UP000002311"	NA	"3231-YDR541C"	NA
"S000002950"	"YDR542W"	"S. cerevisiae"	"PAU10"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to the vacuole; member of the seripauperin multigene family encoded mainly in subtelomeric regions"	"Verified"	"Protein whose biological role is unknown; localizes to the vacuole|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	"find panID based blast"
"S000002951"	"YDR543C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3519-YER188C-A_NumOfGenes_9"	"find panID based on not collapsed gene"
"S000002952"	"YDR544C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3232-YDR544C"	NA
"S000002953"	"YDR545W"	"S. cerevisiae"	"YRF1-1"	NA	"Helicase encoded by the Y' element of subtelomeric regions"	"Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p"	"Verified"	"DNA helicase involved in telomere maintenance via recombination|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"find panID based on not collapsed gene"
"S000002954"	"YEL059C-A"	"S. cerevisiae"	"SOM1"	"SOrting Mitochondrial"	"Subunit of the mitochondrial inner membrane peptidase (IMP)"	"Subunit of the mitochondrial inner membrane peptidase (IMP); IMP is required for maturation of mitochondrial proteins of the intermembrane space; Som1p facilitates cleavage of a subset of substrates; contains twin cysteine-x9-cysteine motifs"	"Verified"	NA	NA	"3294-YEL059C-A"	NA
"S000002955"	"YEL076C-A"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"find panID based on not collapsed gene"
"S000002956"	"YEL075W-A"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3309-YEL075W-A_NumOfGenes_2"	NA
"S000002957"	"YER007C-A"	"S. cerevisiae"	"TMA20"	"Translation Machinery Associated"	"Protein of unknown function that associates with ribosomes"	"Protein of unknown function that associates with ribosomes; has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"3317-YER007C-A"	NA
"S000002958"	"YER060W-A"	"S. cerevisiae"	"FCY22"	"FluoroCYtosine resistance"	"Putative purine-cytosine permease"	"Putative purine-cytosine permease; very similar to Fcy2p but cannot substitute for its function"	"Verified"	NA	NA	"3380-YER060W-A"	NA
"S000002959"	"YER066C-A"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YER067W"	"Dubious"	NA	NA	"3386-YER066C-A"	NA
"S000002960"	"YER093C-A"	"S. cerevisiae"	"AIM11"	"Altered Inheritance rate of Mitochondria"	"Protein of unknown function"	"Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication"	"Verified"	"Protein whose biological role is unknown; localizes to the mitochondria|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays decreased competitive fitness in media containing either fermentable or non-fermentable carbon sources, and a decreased rate of respiratory growth; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant has decreased chronological lifespan, decreased desiccation resistance and is defective in biofilm formation; null mutant is inhibited by palmitoleic acid but stimulated by oleic acid"	"3422-YER093C-A"	NA
"S000002961"	"YER119C-A"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae, but this is likely due to effects on the overlapping gene SCS2"	"Dubious"	NA	NA	"3449-YER119C-A"	NA
"S000002964"	"YFL012W-A"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene IES1/YFL013C"	"Dubious"	NA	NA	"3533-YFL012W-A"	NA
"S000002965"	"YFL017W-A"	"S. cerevisiae"	"SMX2"	NA	"Core Sm protein Sm G"	"Core Sm protein Sm G; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx3p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm G"	"Verified"	NA	NA	"3539-YFL017W-A"	NA
"S000002968"	"YFR024C-A"	"S. cerevisiae"	"LSB3"	"Las Seventeen Binding protein"	"Protein containing a C-terminal SH3 domain"	"Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; protein abundance increases in response to DNA replication stress; LSB3 has a paralog, YSC84, that arose from the whole genome duplication"	"Verified"	NA	NA	"3608-YFR024C-A"	NA
"S000002969"	"YGL001C"	"S. cerevisiae"	"ERG26"	"ERGosterol biosynthesis"	"C-3 sterol dehydrogenase"	"C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; human homolog NSDHL implicated in CK syndrome, and can complement yeast null mutant; molecular target of natural product and antifungal compound FR171456"	"Verified"	NA	"Essential gene; in large-scale studies, repression confers S phase cell cycle delay, increased spontaneous DNA damage, and abnormal mitochondrial morphology; heterozygous null mutant is sensitive to ascomycin"	"3646-YGL001C"	NA
"S000002970"	"YGL002W"	"S. cerevisiae"	"ERP6"	"Emp24p/Erv25p Related Protein"	"Member of the p24 family involved in ER to Golgi transport"	"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog, ERP1, that arose from the whole genome duplication"	"Verified"	NA	NA	"3647-YGL002W"	NA
"S000002971"	"YGL003C"	"S. cerevisiae"	"CDH1"	"CDC20 Homolog"	"Activator of anaphase-promoting complex/cyclosome (APC/C)"	"Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p, Ase1p, Cin8p, Fin1p and Clb5p; partially active in metaphase, and fully active in anaphase; cell-cycle regulated"	"Verified"	NA	NA	"3648-YGL003C"	NA
"S000002972"	"YGL004C"	"S. cerevisiae"	"RPN14"	"Regulatory Particle Non-ATPase"	"Evolutionarily conserved 19S regulatory particle assembly-chaperone"	"Evolutionarily conserved 19S regulatory particle assembly-chaperone; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p"	"Verified"	NA	NA	"3649-YGL004C"	NA
"S000002973"	"YGL005C"	"S. cerevisiae"	"COG7"	"Conserved Oligomeric Golgi complex"	"Component of the conserved oligomeric Golgi complex"	"Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	"Verified"	"Protein involved in vesicle-mediated transport within the Golgi and CVT pathway; part of the Golgi transport complex|uniprot_proteome=UP000002311"	NA	"3650-YGL005C"	NA
"S000002974"	"YGL006W"	"S. cerevisiae"	"PMC1"	"Plasma Membrane Calcium"	"Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions"	"Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a"	"Verified"	NA	"Non-essential gene; null mutation leads to increased sensitivity to calcium and aluminum; overexpression increases resistance to calcium and aluminum; overexpression in Sigma1278b enhances invasive pseudohyphal growth"	"3651-YGL006W"	NA
"S000002975"	"YGL007W"	"S. cerevisiae"	"BRP1"	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; located in the upstream region of PMA1; deletion leads to polyamine resistance due to downregulation of PMA1"	"Uncharacterized"	NA	NA	"3654-YGL007W"	NA
"S000002976"	"YGL008C"	"S. cerevisiae"	"PMA1"	"Plasma Membrane ATPase"	"Plasma membrane P2-type H+-ATPase"	"Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"	"Verified"	"Proton pump localized to membrane rafts in the plasma membrane; regulates intracellular pH by pumping protons out of the cell|uniprot_proteome=UP000002311"	"Essential gene; mutations cause heat sensitivity, reduced innate thermotolerance, killer toxin resistance, longer replicative lifespan, and increased formation of the [GAR+] prion; in large-scale studies, heterozygous null mutant has decreased competitive fitness and shows altered resistance to various chemicals; overexpression also confers a growth disadvantage"	"3655-YGL008C"	NA
"S000002977"	"YGL009C"	"S. cerevisiae"	"LEU1"	"LEUcine biosynthesis"	"Isopropylmalate isomerase"	"Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway"	"Verified"	"Isopropylmalate isomerase involved in leucine biosynthesis; catalyzes the conversion of 2-isopropylmalate to 3-isopropylmalate; localizes to the cytosol|uniprot_proteome=UP000002311"	NA	"3656-YGL009C"	NA
"S000002978"	"YGL010W"	"S. cerevisiae"	"MPO1"	"Metabolism of PHS to Odd-numbered fatty acids"	"Protein involved in metabolism of phytosphingosine"	"Protein involved in metabolism of phytosphingosine; not an essential gene"	"Verified"	"Protein required for degradation of sphingoid bases; localized in the endoplasmic reticulum|uniprot_proteome=UP000002311"	NA	"3657-YGL010W"	NA
"S000002979"	"YGL011C"	"S. cerevisiae"	"SCL1"	"Suppressor of Crl3 ts Lethality"	"Alpha 1 subunit of the 20S proteasome"	"Alpha 1 subunit of the 20S proteasome; involved in the degradation of ubiquitinated substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria"	"Verified"	NA	"Essential gene; ts mutation causes chromosome instability and sensitivity to bleomycin and HU; in large-scale studies, repression causes decreased competitive fitness; mutations cause sensitivity to K28 killer toxin and resistance to cycloheximide; diploid heterozygous null mutant is sensitive to calmidazolium and is haploinsufficient"	"3658-YGL011C"	NA
"S000002980"	"YGL012W"	"S. cerevisiae"	"ERG4"	"ERGosterol biosynthesis"	"C-24(28) sterol reductase"	"C-24(28) sterol reductase; catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol"	"Verified"	NA	"Non-essential gene; null mutant has abnormal lipid particles, decreased shmoo formation and mating efficiency, and shows sensitivity to brefeldin A, Calcofluor White, cycloheximide, echinocandin B, mycophenolic acid and papulacandin B; in systematic studies null mutants display decreased biofilm formation, reduced endocytosis, defective sporulation in diploids, increased sensitivity to multiple chemicals and reduced competitive fitness"	"3659-YGL012W"	NA
