"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"collapsed_sign"	"Remark"	"panID_b"	"AAlength_b"	"panID_p"	"AAlength_p"	"CHECK"
"S000005033"	"YNL089C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame unlikely to encode a functional protein"	"Dubious open reading frame unlikely to encode a functional protein; almost completely overlaps YNL090W/RHO2 which encodes a small GTPase of the Rho/Rac subfamily of Ras-like proteins"	"Dubious"	NA	NA	"6482-YNL090W_NumOfGenes_2"	NA	"find panID based blast"	"6482-YNL090W_NumOfGenes_2"	"150"	"6482-YNL090W_NumOfGenes_2"	"150"	TRUE
"S000005049"	"YNL105W"	"S. cerevisiae"	"RRT16"	"Regulator of rDNA Transcription"	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene INP52; identified in a screen for mutants with decreased levels of rDNA transcription"	"Dubious"	NA	NA	"6499-YNL106C_NumOfGenes_2"	NA	"find panID based blast"	"6499-YNL106C_NumOfGenes_2"	"113"	"6499-YNL106C_NumOfGenes_2"	"113"	TRUE
"S000005053"	"YNL109W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YNL108C"	"Dubious"	NA	NA	"6501-YNL108C_NumOfGenes_2"	NA	"find panID based blast"	"6501-YNL108C_NumOfGenes_2"	"165"	"6501-YNL108C_NumOfGenes_2"	"165"	TRUE
"S000005058"	"YNL114C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPC19/YNL113W, an RNA polymerase subunit"	"Dubious"	NA	NA	"6505-YNL113W_NumOfGenes_2"	NA	"find panID based blast"	"6505-YNL113W_NumOfGenes_2"	"95"	"6505-YNL113W_NumOfGenes_2"	"95"	TRUE
"S000005064"	"YNL120C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion enhances replication of Brome mosaic virus in S. cerevisiae, but likely due to effects on the overlapping gene"	"Dubious"	NA	NA	"6510-YNL119W_NumOfGenes_2"	NA	"find panID based blast"	"6510-YNL119W_NumOfGenes_2"	"159"	"6510-YNL119W_NumOfGenes_2"	"159"	TRUE
"S000005084"	"YNL140C"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps THO2/YNL139C"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"6531-YNL139C_NumOfGenes_2"	NA	"find panID based blast"	"6531-YNL139C_NumOfGenes_2"	"187"	"6531-YNL139C_NumOfGenes_2"	"187"	TRUE
"S000005118"	"YNL174W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene NOP13/YNL175C"	"Dubious"	NA	NA	"6567-YNL175C_NumOfGenes_2"	NA	"find panID based blast"	"6567-YNL175C_NumOfGenes_2"	"179"	"6567-YNL175C_NumOfGenes_2"	"179"	TRUE
"S000005147"	"YNL203C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6594-YNL202W_NumOfGenes_3"	NA	"find panID based blast"	"6594-YNL202W_NumOfGenes_3"	"157"	"6594-YNL202W_NumOfGenes_3"	"157"	TRUE
"S000005153"	"YNL209W"	"S. cerevisiae"	"SSB2"	"Stress-Seventy subfamily B"	"Cytoplasmic ATPase that is a ribosome-associated molecular chaperone"	"Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication"	"Verified"	"ATPase involved in protein folding, export of ribosomal subunit from nucleus, regulation of translation fidelity, rRNA processing; associated with polysomes and localized in the cytoplasm|uniprot_proteome=UP000002311"	NA	"2673-YDL229W_NumOfGenes_3"	NA	"find panID based blast"	"2673-YDL229W_NumOfGenes_3"	"614"	"2673-YDL229W_NumOfGenes_3"	"614"	TRUE
"S000005172"	"YNL228W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF YNL227C/JJJ1"	"Dubious"	NA	NA	"6617-YNL227C_NumOfGenes_2"	NA	"find panID based blast"	"6617-YNL227C_NumOfGenes_2"	"254"	"6617-YNL227C_NumOfGenes_2"	"254"	TRUE
"S000005204"	"YNL260C"	"S. cerevisiae"	"LTO1"	"required for biogenesis of the Large ribosomal subunit and initiation of Translation in Oxygen"	"Essential protein that forms a complex with Rli1p and Yae1p"	"Essential protein that forms a complex with Rli1p and Yae1p; ortholog of human ORAOV1, which is overexpressed in solid tumors; inviability of null mutant under standard conditions is complemented by overexpression of ORAOV1; essential for growth under standard (aerobic) conditions but not under anaerobic conditions; may have a role in protection of ribosomal assembly and function from damage due to reactive oxygen species"	"Verified"	NA	NA	"Can't find the panID"	NA	"find panID based blast"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	TRUE
"S000005210"	"YNL266W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF IST1/YNL265C"	"Dubious"	NA	NA	"6653-YNL265C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"6653-YNL265C_NumOfGenes_2"	"128"	"6653-YNL265C_NumOfGenes_2"	"128"	TRUE
"S000005220"	"YNL276C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene MET2/YNL277W"	"Dubious"	NA	NA	"6663-YNL277W_NumOfGenes_2"	NA	"find panID based blast"	"6663-YNL277W_NumOfGenes_2"	"126"	"6663-YNL277W_NumOfGenes_2"	"126"	TRUE
"S000005240"	"YNL296W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame unlikely to encode a functional protein"	"Dubious open reading frame unlikely to encode a functional protein; deletion adversely affects sporulation; deletion mutant exhibits synthetic phenotype under expression of mutant huntingtin fragment, but gene does not have human ortholog"	"Dubious"	NA	NA	"6683-YNL297C_NumOfGenes_2"	NA	"find panID based blast"	"6683-YNL297C_NumOfGenes_2"	"103"	"6683-YNL297C_NumOfGenes_2"	"103"	TRUE
"S000005263"	"YNL319W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HXT14"	"Dubious"	NA	NA	"6704-YNL318C_NumOfGenes_2"	NA	"find panID based blast"	"6704-YNL318C_NumOfGenes_2"	"125"	"6704-YNL318C_NumOfGenes_2"	"125"	TRUE
"S000005268"	"YNL324W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6709-YNL325C_NumOfGenes_2"	NA	"find panID based blast"	"6709-YNL325C_NumOfGenes_2"	"109"	"6709-YNL325C_NumOfGenes_2"	"109"	TRUE
"S000005276"	"YNL332W"	"S. cerevisiae"	"THI12"	"THIamine metabolism"	"Protein involved in synthesis of the thiamine precursor HMP"	"Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP"	"Verified"	NA	NA	"3580-YFL058W_NumOfGenes_4"	NA	"find panID based blast"	"3580-YFL058W_NumOfGenes_4"	"341"	"3580-YFL058W_NumOfGenes_4"	"341"	TRUE
"S000005277"	"YNL333W"	"S. cerevisiae"	"SNZ2"	"SNooZe"	"Member of a stationary phase-induced gene family"	"Member of a stationary phase-induced gene family; transcription of SNZ2 is induced prior to diauxic shift, and also in the absence of thiamin in a Thi2p-dependent manner; forms a coregulated gene pair with SNO2; interacts with Thi11p"	"Verified"	NA	NA	"3581-YFL059W_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"3581-YFL059W_NumOfGenes_3"	"299"	"3581-YFL059W_NumOfGenes_3"	"299"	TRUE
"S000005279"	"YNL335W"	"S. cerevisiae"	"DDI3"	"DNA Damage Inducible"	"Cyanamide hydratase that detoxifies cyanamide"	"Cyanamide hydratase that detoxifies cyanamide; member of the HD domain metalloprotein superfamily; expression is induced over 100-fold by cyanamide and by SN2-type DNA alkylating agents such as MMS and DMA; induction decreased in rad6 and rad18 mutants; gene and protein are identical to DDI2 and Ddi2p"	"Verified"	"Cyanamide hydratase involved in detoxification of cyanamide|uniprot_proteome=UP000002311"	NA	"3582-YFL061W_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"3582-YFL061W_NumOfGenes_3"	"226"	"3582-YFL061W_NumOfGenes_3"	"226"	TRUE
"S000005281"	"YNL337W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3519-YER188C-A_NumOfGenes_9"	"collapse"	"find panID based on not collapsed gene"	"498-maker-3872-BTB_3"	"85"	"439-maker-12183-BTG_3"	"35"	FALSE
"S000005283"	"YNL339C"	"S. cerevisiae"	"YRF1-6"	NA	"Helicase encoded by the Y' element of subtelomeric regions"	"Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p"	"Verified"	"DNA helicase involved in telomere maintenance via recombination|uniprot_proteome=UP000002311"	"Non-essential gene; null mutants are sensitive to protein synthesis inbibitor cycloheximide, resistant to heat, show increased biofilm formation and decreased competitive fitness; heterozygous diploid null mutants are haploinsufficent"	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"1797"	"662-snap_masked-643-BBP_3"	"26"	FALSE
"S000005288"	"YNR005C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6724-YNR006W_NumOfGenes_2"	NA	"find panID based blast"	"6724-YNR006W_NumOfGenes_2"	"116"	"6724-YNR006W_NumOfGenes_2"	"116"	TRUE
"S000005325"	"YNR042W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene COQ2"	"Dubious"	NA	NA	"6761-YNR041C_NumOfGenes_2"	NA	"find panID based blast"	"6761-YNR041C_NumOfGenes_2"	"140"	"6761-YNR041C_NumOfGenes_2"	"140"	TRUE
"S000005359"	"YNR076W"	"S. cerevisiae"	"PAU6"	"seriPAUperin family"	"Member of the seripauperin multigene family"	"Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to just the vacuole; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme; identical to Pau18p"	"Verified"	"Protein whose biological role is unknown; localizes to the vacuole|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"156-augustus_masked-2151-BRV_4"	"121"	TRUE
"S000005395"	"YOL035C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6834-YOL036W_NumOfGenes_3"	NA	"find panID based blast"	"6834-YOL036W_NumOfGenes_3"	"76"	"6834-YOL036W_NumOfGenes_3"	"76"	TRUE
"S000005397"	"YOL037C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOL036W"	"Dubious"	NA	NA	"6834-YOL036W_NumOfGenes_3"	NA	"find panID based blast"	"6834-YOL036W_NumOfGenes_3"	"91"	"6834-YOL036W_NumOfGenes_3"	"91"	TRUE
"S000005406"	"YOL046C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene PSK2/YOL045W"	"Dubious"	NA	NA	"6843-YOL045W_NumOfGenes_2"	NA	"find panID based blast"	"6843-YOL045W_NumOfGenes_2"	"214"	"6843-YOL045W_NumOfGenes_2"	"214"	TRUE
"S000005410"	"YOL050C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified gene GAL11; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)"	"Dubious"	NA	NA	"6847-YOL051W_NumOfGenes_2"	NA	"find panID based blast"	"6847-YOL051W_NumOfGenes_2"	"101"	"6847-YOL051W_NumOfGenes_2"	"101"	TRUE
"S000005439"	"YOL079W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6876-YOL080C_NumOfGenes_2"	NA	"find panID based blast"	"6876-YOL080C_NumOfGenes_2"	"108"	"6876-YOL080C_NumOfGenes_2"	"108"	TRUE
"S000005459"	"YOL099C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene PKH2/YOL100W; may interact with ribosomes"	"Dubious"	NA	NA	"6898-YOL100W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"6898-YOL100W_NumOfGenes_2"	"155"	"6898-YOL100W_NumOfGenes_2"	"155"	TRUE
"S000005510"	"YOL150C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6948-YOL151W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"6948-YOL151W_NumOfGenes_2"	"83"	"6948-YOL151W_NumOfGenes_2"	"83"	TRUE
"S000005517"	"YOL157C"	"S. cerevisiae"	"IMA2"	"IsoMAltase"	"Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)"	"Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase); preferred specificity for isomaltose, alpha-methylglucoside, and palatinose, but also exhibits alpha-1,2 glucosidase activity on sucrose and kojibiose, and can cleave the 1,3-alpha linkage of nigerose and turanose and the alpha-1,5 linkage of leucrose in vitro; not required for isomaltose utilization, but Ima2p overexpression allows the ima1 null mutant to grow on isomaltose"	"Verified"	NA	NA	"4654-YIL172C_NumOfGenes_6"	"collapse"	"find panID based on not collapsed gene"	"4654-YIL172C_NumOfGenes_6"	"590"	"1496-maker-CHB_4-9987"	"21"	FALSE
"S000005521"	"YOL161C"	"S. cerevisiae"	"PAU20"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; expression induced by low temperature and also by anaerobic conditions; induced during alcoholic fermentation"	"Verified"	"Protein whose biological role is unknown; localizes to the vacuole|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"156-augustus_masked-2151-BRV_4"	"121"	TRUE
"S000005525"	"YOL165C"	"S. cerevisiae"	"AAD15"	"Aryl-Alcohol Dehydrogenase"	"Putative aryl-alcohol dehydrogenase"	"Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; AAD15 has a paralog, AAD3, that arose from a segmental duplication; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family"	"Verified"	"An aryl-alcohol dehydrogenase involved in metabolism of cellular aldehyde; cellular location unknown|uniprot_proteome=UP000002311"	NA	"2450-YCR107W_NumOfGenes_4"	"collapse"	"find panID based on not collapsed gene"	"2450-YCR107W_NumOfGenes_4"	"144"	"2450-YCR107W_NumOfGenes_4"	"144"	TRUE
"S000005567"	"YOR041C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 85% of ORF overlaps the uncharacterized gene CUE5; deletion in cyr1 mutant results in loss of stress resistance"	"Dubious"	NA	NA	"7011-YOR042W_NumOfGenes_2"	NA	"find panID based blast"	"7011-YOR042W_NumOfGenes_2"	"121"	"7011-YOR042W_NumOfGenes_2"	"121"	TRUE
"S000005579"	"YOR053W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VHS3/YOR054C"	"Dubious"	NA	NA	"7022-YOR054C_NumOfGenes_3"	NA	"find panID based blast"	"7022-YOR054C_NumOfGenes_3"	"108"	"7022-YOR054C_NumOfGenes_3"	"108"	TRUE
"S000005581"	"YOR055W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"7022-YOR054C_NumOfGenes_3"	NA	"find panID based blast"	"7022-YOR054C_NumOfGenes_3"	"126"	"7022-YOR054C_NumOfGenes_3"	"126"	TRUE
"S000005595"	"YOR069W"	"S. cerevisiae"	"VPS5"	"Vacuolar Protein Sorting"	"Nexin-1 homolog"	"Nexin-1 homolog; required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to late Golgi; structural component of retromer membrane coat complex; forms a retromer subcomplex with Vps17p; required for recruiting the retromer complex to the endosome membranes; VPS5 has a paralog, YKR078W, that arose from the whole genome duplication"	"Verified"	"Endosomal phosphatidylinositol-3-phosphate binding retromer complex subunit involved in retrograde transport of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport|uniprot_proteome=UP000002311"	NA	"7035-YOR068C_NumOfGenes_2"	NA	"find panID based blast"	"7035-YOR068C_NumOfGenes_2"	"114"	"7035-YOR068C_NumOfGenes_2"	"114"	TRUE
"S000005628"	"YOR102W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensively overlaps essential OST2 gene encoding a subunit of the ER lumen oligosaccharyltransferase complex"	"Dubious"	NA	NA	"7069-YOR103C_NumOfGenes_2"	NA	"find panID based blast"	"7069-YOR103C_NumOfGenes_2"	"108"	"7069-YOR103C_NumOfGenes_2"	"108"	TRUE
"S000005630"	"YOR104W"	"S. cerevisiae"	"PIN2"	"Psi+ INducibility"	"Exomer-dependent cargo protein"	"Exomer-dependent cargo protein; induces appearance of [PIN+] prion when overproduced; prion-like domain serves as a retention signal in the trans-Golgi network; predicted to be palmitoylated"	"Verified"	"Predicted integral membrane protein whose biological role is unknown|uniprot_proteome=UP000002311"	NA	"7070-YOR105W_NumOfGenes_2"	NA	"find panID based blast"	"7070-YOR105W_NumOfGenes_2"	"98"	"7070-YOR105W_NumOfGenes_2"	"98"	TRUE
"S000005647"	"YOR121C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene GCY1/YOR120W"	"Dubious"	NA	NA	"7085-YOR120W_NumOfGenes_2"	NA	"find panID based blast"	"7085-YOR120W_NumOfGenes_2"	"85"	"7085-YOR120W_NumOfGenes_2"	"85"	TRUE
"S000005659"	"YOR133W"	"S. cerevisiae"	"EFT1"	"Elongation Factor Two"	"Elongation factor 2 (EF-2), also encoded by EFT2"	"Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT1 has a paralog, EFT2, that arose from the whole genome duplication"	"Verified"	NA	NA	"3079-YDR385W_NumOfGenes_2"	NA	"find panID based blast"	"3079-YDR385W_NumOfGenes_2"	"843"	"3079-YDR385W_NumOfGenes_2"	"843"	TRUE
"S000005665"	"YOR139C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SFL1/YOR140W"	"Dubious"	NA	NA	"7102-YOR140W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"7102-YOR140W_NumOfGenes_2"	"98"	"7102-YOR140W_NumOfGenes_2"	"98"	TRUE
"S000005672"	"YOR146W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene PNO1/YOR145C"	"Dubious"	NA	NA	"7107-YOR145C_NumOfGenes_2"	NA	"find panID based blast"	"7107-YOR145C_NumOfGenes_2"	"99"	"7107-YOR145C_NumOfGenes_2"	"99"	TRUE
"S000005695"	"YOR169C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene GLN4/YOR168W"	"Dubious"	NA	NA	"7130-YOR168W_NumOfGenes_2"	NA	"find panID based blast"	"7130-YOR168W_NumOfGenes_2"	"119"	"7130-YOR168W_NumOfGenes_2"	"119"	TRUE
"S000005726"	"YOR200W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MRM1/YOR201c"	"Dubious"	NA	NA	"7161-YOR201C_NumOfGenes_2"	NA	"find panID based blast"	"7161-YOR201C_NumOfGenes_2"	"115"	"7160-YOR199W"	"31"	FALSE
"S000005744"	"YOR218C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene RFC1/YOR217W"	"Dubious"	NA	NA	"7177-YOR217W_NumOfGenes_2"	NA	"find panID based blast"	"7177-YOR217W_NumOfGenes_2"	"137"	"7177-YOR217W_NumOfGenes_2"	"137"	TRUE
"S000005774"	"YOR248W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"7205-YOR247W_NumOfGenes_2"	NA	"find panID based blast"	"7205-YOR247W_NumOfGenes_2"	"98"	"7205-YOR247W_NumOfGenes_2"	"98"	TRUE
"S000005803"	"YOR277C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene CAF20"	"Dubious"	NA	NA	"7233-YOR276W_NumOfGenes_2"	NA	"find panID based blast"	"7233-YOR276W_NumOfGenes_2"	"101"	"7233-YOR276W_NumOfGenes_2"	"101"	TRUE
"S000005852"	"YOR325W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF FRT1"	"Dubious"	NA	NA	"7285-YOR324C_NumOfGenes_2"	NA	"find panID based blast"	"7285-YOR324C_NumOfGenes_2"	"154"	"7285-YOR324C_NumOfGenes_2"	"154"	TRUE
"S000005858"	"YOR331C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene VMA4/YOR332W"	"Dubious"	NA	NA	"7292-YOR332W_NumOfGenes_2"	NA	"find panID based blast"	"7292-YOR332W_NumOfGenes_2"	"155"	"7292-YOR332W_NumOfGenes_2"	"155"	TRUE
"S000005860"	"YOR333C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 5' end of MRS2 gene required for respiratory growth"	"Dubious"	NA	NA	"7293-YOR334W_NumOfGenes_2"	NA	"find panID based blast"	"7293-YOR334W_NumOfGenes_2"	"120"	"7293-YOR334W_NumOfGenes_2"	"120"	TRUE
"S000005872"	"YOR345C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene REV1; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2"	"Dubious"	NA	NA	"7304-YOR346W_NumOfGenes_2"	NA	"find panID based blast"	"7304-YOR346W_NumOfGenes_2"	"111"	"7304-YOR346W_NumOfGenes_2"	"111"	TRUE
"S000005891"	"YOR364W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR365C"	"Dubious"	NA	NA	"7322-YOR365C_NumOfGenes_3"	NA	"find panID based blast"	"7322-YOR365C_NumOfGenes_3"	"93"	"7322-YOR365C_NumOfGenes_3"	"93"	TRUE
"S000005893"	"YOR366W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR365C"	"Dubious"	NA	NA	"7322-YOR365C_NumOfGenes_3"	NA	"find panID based blast"	"7322-YOR365C_NumOfGenes_3"	"105"	"7322-YOR365C_NumOfGenes_3"	"105"	TRUE
"S000005906"	"YOR379C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR378W"	"Dubious"	NA	NA	"7335-YOR378W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"7335-YOR378W_NumOfGenes_2"	"111"	"7335-YOR378W_NumOfGenes_2"	"111"	TRUE
"S000005917"	"YOR390W"	"S. cerevisiae"	"FEX1"	NA	"Protein involved in fluoride export"	"Protein involved in fluoride export; nearly identical to FEX2, and deletion of both proteins results in a large increase in fluoride sensitivity compared with the single mutant; contains two FEX domains connected by a linker; part of a widespread family of conserved fluoride export proteins"	"Verified"	"Fluoride transporter; integral plasma membrane protein|uniprot_proteome=UP000002311"	NA	"7622-YPL279C_NumOfGenes_2"	NA	"find panID based blast"	"7622-YPL279C_NumOfGenes_2"	"376"	"7622-YPL279C_NumOfGenes_2"	"376"	TRUE
"S000005918"	"YOR391C"	"S. cerevisiae"	"HSP33"	"Heat-Shock Protein"	"Possible chaperone and cysteine protease"	"Possible chaperone and cysteine protease; required for transcriptional reprogramming during the diauxic shift and for survival in stationary phase; similar to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp32p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease and cancer"	"Verified"	NA	NA	"7623-YPL280W_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"7623-YPL280W_NumOfGenes_3"	"238"	"7623-YPL280W_NumOfGenes_3"	"238"	TRUE
