"Gene.Name"	"Accession.1"	"gene_standard_name"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"ec"	"reaction_biocyc"
"IES1"	"YFL013C"	"YFL013C"	107852	109930	"Ino Eighty Subunit"	NA	NA	NA
"YDR306C"	"YDR306C"	"YDR306C"	1073735	1075171	"Unknown"	NA	NA	NA
"JHD1"	"YER051W"	"YER051W"	254656	256134	"JmjC domain-containing Histone Demethylase"	NA	NA	"a [protein] N6,N6-dimethyl-L-lysine + 2 2-oxoglutarate + 2 oxygen + H+ => a [protein]-L-lysine + 2 succinate + 2 formaldehyde + 2 CO2;a [protein] N6,N6-dimethyl-L-lysine + 2-oxoglutarate + oxygen => a [protein] N6-methyl-L-lysine + succinate + formaldehyde + CO2;a [protein] N6-methyl-L-lysine + 2-oxoglutarate + oxygen + H+ => a [protein]-L-lysine + succinate + formaldehyde + CO2"
"RRN6"	"YBL014C"	"YBL014C"	199064	201748	"Regulation of RNA polymerase I"	NA	NA	NA
"YLR361C-A"	"YLR361C-A"	"YLR361C-A"	849383	849679	"Unknown"	NA	NA	NA
"SPT8"	"YLR055C"	"YLR055C"	251272	253080	"SuPpressor of Ty"	NA	NA	NA
"YHC1"	"YLR298C"	"YLR298C"	724721	725416	"Yeast Homolog of human U1C"	NA	NA	NA
"YDR089W"	"YDR089W"	"YDR089W"	622112	624721	"Unknown"	NA	NA	NA
"SPO20"	"YMR017W"	"YMR017W"	307489	308682	"SPOrulation"	NA	NA	NA
"YMR221C"	"YMR221C"	"YMR221C"	713931	715445	"Found in Mitochondrial Proteome"	NA	NA	NA
"YLR363W-A"	"YLR363W-A"	"YLR363W-A"	853461	853718	"Unknown"	NA	NA	NA
"SWC5"	"YBR231C"	"YBR231C"	682179	683090	"SWr Complex"	NA	NA	NA
"YOL075C"	"YOL075C"	"YOL075C"	189658	193542	"YOL075C"	NA	NA	NA
"YDL157C"	"YDL157C"	"YDL157C"	174232	174588	"Unknown"	NA	NA	NA
"GCR2"	"YNL199C"	"YNL199C"	264926	266530	"GlyColysis Regulation"	NA	NA	NA
"CSM1"	"YCR086W"	"YCR086W"	263392	263964	"Chromosome Segregation in Meiosis"	NA	NA	NA
"YLR287C"	"YLR287C"	"YLR287C"	710991	712058	"Unknown"	NA	NA	NA
"MTC3"	"YGL226W"	"YGL226W"	73340	73711	"Maintenance of Telomere Capping"	NA	NA	NA
"HUB1"	"YNR032C-A"	"YNR032C-A"	687243	687464	"Homologous to UBiquitin"	NA	NA	NA
"YCL021W-A"	"YCL021W-A"	"YCL021W-A"	83620	83997	"Unknown"	NA	NA	NA
"RCN2"	"YOR220W"	"YOR220W"	755328	756125	"Regulator of CalciNeurin"	NA	NA	NA
"HIP1"	"YGR191W"	"YGR191W"	880420	882231	"HIstidine Permease"	NA	NA	NA
"YLR159W"	"YLR159W"	"YLR159W"	485345	485689	"Unknown"	NA	NA	NA
"MPC2"	"YHR162W"	"YHR162W"	423072	423461	"Mitochondrial Pyruvate Carrier"	NA	NA	NA
"SRL4"	"YPL033C"	"YPL033C"	487362	488207	"Suppressor of Rad53 null Lethality or Suppressor of Rad53 and Lcd1"	NA	NA	NA
"YCL002C"	"YCL002C"	"YCL002C"	110808	111675	"Unknown"	NA	NA	NA
"SAN1"	"YDR143C"	"YDR143C"	742042	743874	"Sir Antagonist"	NA	NA	NA
"PMT2"	"PMT2"	"YAL023C"	106272	108551	"dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase"	"protein <I>O</i>-mannosylation I (yeast)"	"2.4.1.109"	"a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine) => a dolichyl phosphate + a [protein]-O-D-mannosyl-(L-serine/L-threonine) + H+"
"YLL066C"	"YLL066C"	"YLL066C"	6120	9836	"Unknown"	NA	NA	NA
"RPL43A"	"YPR043W"	"YPR043W"	654166	654847	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"YIL151C"	"YIL151C"	"YIL151C"	57338	60694	"Est1A/B-Smg6/5-Like"	NA	NA	NA
"YBL039W-B"	"YBL039W-B"	"YBL039W-B"	143393	143572	"Unknown"	NA	NA	NA
"PTK2"	"YJR059W"	"YJR059W"	545787	548243	"Putative serine/Threonine protein Kinase"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"YPQ2"	"YDR352W"	"YDR352W"	1181801	1182754	"Yeast PQ-loop protein"	NA	NA	NA
"YKR070W"	"YKR070W"	"YKR070W"	573574	574632	"Unknown"	NA	NA	NA
"QCR9"	"QCR9"	"YGR183C"	859063	859476	"ubiquinol cytochrome c reductase subunit 9"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"1.10.2.2"	"2 an oxidized c-type cytochrome[out] + an ubiquinol[membrane] => 2 a reduced c-type cytochrome[out] + a ubiquinone[membrane] + 2 H+[out]"
"SHE2"	"YKL130C"	"YKL130C"	195288	196028	"Swi5p-dependent HO Expression"	NA	NA	NA
"YBR137W"	"YBR137W"	"YBR137W"	513044	513583	"Unknown"	NA	NA	NA
"YPT31"	"YER031C"	"YER031C"	214076	214747	"Yeast Protein Two"	NA	NA	NA
"FOX2"	"FOX2"	"YKR009C"	454352	457054	"peroxisomal multifunctional enzyme type 2"	"10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent) // 9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // stearate biosynthesis I (animals and fungi) // fatty acid &beta;-oxidation (peroxisome) // very long chain fatty acid biosynthesis // fatty acid oxidation (non-cyclic)"	" 1.1.1.211 "	"(3R)-hydroxy, 4-trans-undecenoyl-CoA + NAD+ => 4-trans-3-oxo-undecenoyl-CoA + NADH + H+;(3R)-hydroxy, 6-cis-tridecenoyl-CoA + NAD+ => 6-cis, 3-oxo-tridecenoyl-CoA + NADH + H+;(3R)-hydroxy, 6-trans-tridecenoyl-CoA + NAD+ => 6-trans-3-oxo-tridecenoyl-CoA + NADH + H+;(3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA + NAD+ => 5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA + NADH + H+;(3R)-hydroxy-5-trans-dodecenoyl-CoA + NAD+ => 5-trans-3-oxo-dodecenoyl-CoA + NADH + H+;(3R)-hydroxydecanoyl-CoA = trans-dec-2-enoyl-CoA + H2O;(R)-3-hydroxyoctanoyl-CoA + NAD+ = 3-oxooctanoyl-CoA + NADH + H+;2-trans, 4-trans-undecadienoyl-CoA + H2O => (3R)-hydroxy, 4-trans-undecenoyl-CoA;2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA + H2O => (3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA;2-trans, 5-trans-dodecadienoyl-CoA + H2O => (3R)-hydroxy-5-trans-dodecenoyl-CoA;2-trans-6-trans-tridecadienoyl-CoA + H2O => (3R)-hydroxy, 6-trans-tridecenoyl-CoA;2-trans-nonenoyl-CoA + H2O => (3R)-hydroxy-nonanoyl-CoA;2-trans-undecenoyl-CoA + H2O => (3R)-hydroxy-undecanoyl-CoA;3S-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA + NAD+ = 4-hydroxybenzoyl-acetyl-CoA + NADH + H+;6-cis, 2-trans-tridecadienoyl-CoA + H2O => (3R)-hydroxy, 6-cis-tridecenoyl-CoA;a (3R)-3-hydroxyacyl-CoA + NAD+ => a 3-oxoacyl-CoA + NADH + H+;a (3S)-3-hydroxyacyl-CoA + NAD+ => a 3-oxoacyl-CoA + NADH + H+;a trans-2-enoyl-CoA + H2O => a (3R)-3-hydroxyacyl-CoA;a trans-2-enoyl-CoA + H2O => a (3S)-3-hydroxyacyl-CoA;OPC4-3-hydroxyacyl-CoA + NAD+ = OPC4-3-ketoacyl-CoA + NADH + H+;OPC6-3-hydroxyacyl-CoA + NAD+ = OPC6-3-ketoacyl-CoA + NADH + H+;OPC8-3-hydroxyacyl-CoA + NAD+ = OPC8-3-ketoacyl-CoA + NADH + H+"
"YKL071W"	"YKL071W"	"YKL071W"	305114	305884	"Unknown"	NA	NA	NA
"SNF7"	"YLR025W"	"YLR025W"	194452	195174	"Sucrose NonFermenting"	NA	NA	NA
"MOB2"	"YFL034C-B"	"YFL034C-B"	63016	63993	"Mps One Binder"	NA	NA	NA
"YBL029W"	"YBL029W"	"YBL029W"	166134	167264	"Unknown"	NA	NA	NA
"DPM1"	"DPM1"	"YPR183W"	900755	901558	"dolichyl-phosphate mannose synthase"	"dolichyl phosphate D-mannose biosynthesis // protein <i>N</i>-glycosylation (eukaryotic) initial steps // protein <I>O</i>-mannosylation I (yeast)"	"2.4.1.83"	"a dolichyl phosphate + GDP-alpha-D-mannose => a dolichyl beta-D-mannosyl phosphate + GDP"
"FLO1"	"YAR050W"	"YAR050W"	203403	208016	"FLOcculation"	NA	NA	NA
"YJL052C-A"	"YJL052C-A"	"YJL052C-A"	337884	338003	"Unknown"	NA	NA	NA
"TUB3"	"YML124C"	"YML124C"	22048	23683	"TUBulin"	NA	NA	NA
"DCS1"	"YLR270W"	"YLR270W"	681186	682238	"DeCapping Scavenger"	NA	NA	NA
"GUA1"	"GUA1"	"YMR217W"	701790	703367	"GMP synthase monomer"	"citrulline biosynthesis // glutamine degradation I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis"	NA	"XMP + L-glutamine + ATP + H2O => L-glutamate + GMP + AMP + diphosphate + 2 H+"
"COS111"	"YBR203W"	"YBR203W"	629168	631942	"Ciclopirox Olamine Sensitive"	NA	NA	NA
"CIK1"	"YMR198W"	"YMR198W"	659745	661529	"Chromosome Instability and Karyogamy"	NA	NA	NA
"YJR056C"	"YJR056C"	"YJR056C"	541792	542502	"Unknown"	NA	NA	NA
"MRPL22"	"YNL177C"	"YNL177C"	303686	304615	"Mitochondrial Ribosomal Protein, Large subunit"	NA	NA	NA
"PWP2"	"YCR057C"	"YCR057C"	220457	223228	"Periodic tryptophan (W) Protein"	NA	NA	NA
"RNR4"	"RNR4"	"YGR180C"	855264	856301	"ribonucleoside-diphosphate reductase, small subunit R4"	"guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP"	NA	"a ribonucleoside diphosphate + a reduced thioredoxin => a 2'-deoxyribonucleoside 5'-diphosphate + an oxidized thioredoxin + H2O;ADP + a reduced thioredoxin => dADP + an oxidized thioredoxin + H2O;CDP + a reduced thioredoxin => dCDP + an oxidized thioredoxin + H2O;GDP + a reduced thioredoxin => dGDP + an oxidized thioredoxin + H2O;UDP + a reduced thioredoxin => dUDP + an oxidized thioredoxin + H2O"
"SPT16"	"YGL207W"	"YGL207W"	98969	102076	"SuPpressor of Ty"	NA	NA	NA
"POP2"	"YNR052C"	"YNR052C"	719346	720647	"PGK promoter directed OverProduction"	NA	"3.1.13.4"	"a mRNA with poly(A) tail + n H2O => an mRNA + n AMP"
"YJL107C"	"YJL107C"	"YJL107C"	218853	220016	"Unknown"	NA	NA	NA
"TOA1"	"YOR194C"	"YOR194C"	711683	712543	"TOA1"	NA	NA	NA
"MRPS35"	"YGR165W"	"YGR165W"	829116	830153	"Mitochondrial Ribosomal Protein, Small subunit"	NA	NA	NA
"YPL119C-A"	"YPL119C-A"	"YPL119C-A"	324024	324287	"Unknown"	NA	NA	NA
"RAD61"	"YDR014W"	"YDR014W"	474046	475989	"RADiation sensitive"	NA	NA	NA
"RRP12"	"YPL012W"	"YPL012W"	529723	533409	"Ribosomal RNA Processing"	NA	NA	NA
"YIL014C-A"	"YIL014C-A"	"YIL014C-A"	325212	325526	"Unknown"	NA	NA	NA
"CRP1"	"YHR146W"	"YHR146W"	390300	391697	"Cruciform DNA-Recognizing Protein"	NA	NA	NA
"VIP1"	"YLR410W"	"YLR410W"	937541	940981	"MONOMER3O-224"	"inositol phosphate biosynthesis"	NA	"ATP + 1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate => ADP + a bis(diphospho)-1D-myo-inositol tetrakisphosphate + H+"
"YPR096C"	"YPR096C"	"YPR096C"	724842	725144	"Unknown"	NA	NA	NA
"DPB4"	"YDR121W"	"YDR121W"	693585	694175	"DNA Polymerase B (II) subunit"	NA	NA	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"
"RPL16A"	"YIL133C"	"YIL133C"	98527	99416	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"YIL089W"	"YIL089W"	"YIL089W"	195599	196216	"Unknown"	NA	NA	NA
"YPR022C"	"YPR022C"	"YPR022C"	603911	607312	"YPR022C"	NA	NA	NA
"IRC3"	"YDR332W"	"YDR332W"	1131001	1133070	"Increased Recombination Centers"	NA	NA	NA
"YPL229W"	"YPL229W"	"YPL229W"	117067	117687	"Unknown"	NA	NA	NA
"GEF1"	"YJR040W"	"YJR040W"	507746	510085	"Glycerol Ethanol, Ferric requiring"	NA	NA	NA
"HAP4"	"YKL109W"	"YKL109W"	232227	233891	"Heme Activator Protein"	NA	NA	NA
"YHR213W-B"	"YHR213W-B"	"YHR213W-B"	540800	541099	"Unknown"	NA	NA	NA
"PDE1"	"PDE1"	"YGL248W"	35653	36762	"3',5'-cyclic-nucleotide phosphodiesterase, low affinity"	NA	"3.1.4.17"	"a nucleoside cyclic 3',5'-monophosphate + H2O => a nucleoside 5'-monophosphate + H+"
"ASG1"	"YIL130W"	"YIL130W"	102782	105676	"Activator of Stress Genes"	NA	NA	NA
"LEE1"	"YPL054W"	"YPL054W"	455759	456664	"Unknown"	NA	NA	NA
"SEC3"	"YER008C"	"YER008C"	167808	171818	"SECretory"	NA	NA	NA
"PEX3"	"YDR329C"	"YDR329C"	1126270	1127595	"PEroXin"	NA	NA	NA
"YHR127W"	"YHR127W"	"YHR127W"	360913	361644	"Unknown"	NA	NA	NA
"NSE1"	"YLR007W"	"YLR007W"	164392	165402	"Non-SMC Element"	NA	NA	NA
"HSL1"	"YKL101W"	"YKL101W"	248920	253476	"Histone Synthetic Lethal"	NA	NA	NA
"YOL164W-A"	"YOL164W-A"	"YOL164W-A"	4130	4312	"Unknown"	NA	NA	NA
"PEP4"	"PEP4"	"YPL154C"	259714	260931	"vacuolar proteinase A"	NA	"3.4.23.25"	"a protein + H2O => a peptide + a peptide"
"MDH1"	"MDH1"	"YKL085W"	279123	280127	"mitochondrial malate dehydrogenase subunit"	"TCA cycle, aerobic respiration // aspartate degradation II"	NA	"(S)-malate + NAD+ <=> oxaloacetate + NADH + H+"
"YHL049C"	"YHL049C"	"YHL049C"	3726	4541	"Unknown"	NA	NA	NA
"CUE4"	"YML101C"	"YML101C"	69735	70088	"Coupling of Ubiquitin conjugation to ER degradation"	NA	NA	NA
"DDI2"	"YFL061W"	"YFL061W"	9545	10222	"DNA Damage Inducible"	NA	NA	NA
"YOR289W"	"YOR289W"	"YOR289W"	853357	854112	"Unknown"	NA	NA	NA
"SMP1"	"YBR182C"	"YBR182C"	593506	594864	"Second MEF2-like Protein 1"	NA	NA	NA
"CNE1"	"YAL058W"	"YAL058W"	37464	38972	"CalNExin and calreticulin homolog"	NA	NA	NA
"YGL007C-A"	"YGL007C-A"	"YGL007C-A"	482941	483027	"Unknown"	NA	NA	NA
"NSG2"	"YNL156C"	"YNL156C"	341069	341968	"NSG2"	NA	NA	NA
"TOP3"	"YLR234W"	"YLR234W"	609783	611753	"TOPoisomerase"	NA	"5.99.1.2"	"a negatively supercoiled DNA = a relaxed DNA"
"YOR059C"	"YOR059C"	"YOR059C"	438906	440258	"Unknown"	NA	NA	NA
"ATG1"	"YGL180W"	"YGL180W"	160065	162758	"AuTophaGy related"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"DDR48"	"YMR173W"	"YMR173W"	608689	609981	"DNA Damage Responsive"	NA	NA	NA
"YGR125W"	"YGR125W"	"YGR125W"	742325	745435	"Unknown"	NA	NA	NA
"DCS2"	"YOR173W"	"YOR173W"	657264	658325	"DeCapping Scavenger"	NA	NA	NA
"NPP1"	"YCR026C"	"YCR026C"	164111	166339	"ecto-Nucleotide Pyrophosphatase/Phosphodiesterase"	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"	NA	"a nucleoside triphosphate + H2O = a nucleoside 5'-monophosphate + diphosphate + H+;NADH + H2O = reduced beta-nicotinamide D-ribonucleotide + AMP + 2 H+"
"YOL014W"	"YOL014W"	"YOL014W"	299693	300067	"Unknown"	NA	NA	NA
"YPD1"	"YDL235C"	"YDL235C"	33415	33918	"tyrosine (Y) Phosphatase Dependent"	NA	NA	NA
"SNF12"	"YNR023W"	"YNR023W"	670418	672118	"Sucrose NonFermenting"	NA	NA	NA
"YGL262W"	"YGL262W"	"YGL262W"	5312	5839	"Unknown"	NA	NA	NA
"ORC6"	"YHR118C"	"YHR118C"	344321	345628	"Origin Recognition Complex"	NA	NA	NA
"PRE9"	"YGR135W"	"YGR135W"	761392	762168	"PRoteinase yscE"	NA	"3.4.25.1"	"a protein + H2O => a peptide + a peptide"
"YNR040W"	"YNR040W"	"YNR040W"	699690	700460	"Unknown"	NA	NA	NA
"TVP15"	"YDR100W"	"YDR100W"	655013	655444	"Tlg2-Vesicle Protein"	NA	NA	NA
"ATP19"	"YOL077W-A"	"YOL077W-A"	185438	185644	"ATP synthase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	NA	"ADP + phosphate + 4 H+[out] <=> ATP + H2O + 3 H+[in]"
"YGL036W"	"YGL036W"	"YGL036W"	428601	431330	"Unknown"	NA	NA	NA
"YPR003C"	"YPR003C"	"YPR003C"	561504	563768	"YPR003C"	NA	NA	NA
"HPM1"	"YIL110W"	"YIL110W"	156045	157178	"Histidine Protein Methyltransferase"	NA	NA	NA
"YNL144C"	"YNL144C"	"YNL144C"	352820	355042	"Unknown"	NA	NA	NA
"APL1"	"YJR005W"	"YJR005W"	445923	448025	"clathrin Adaptor Protein complex Large chain"	NA	NA	NA
"GIC2"	"YDR309C"	"YDR309C"	1079048	1080199	"GTPase Interactive Component"	NA	NA	NA
"YFL065C"	"YFL065C"	"YFL065C"	3030	3338	"Unknown"	NA	NA	NA
"TRP5"	"TRP5"	"YGL026C"	446412	448535	"tryptophan synthetase"	"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // tryptophan biosynthesis"	NA	"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate => indole + D-glyceraldehyde 3-phosphate;(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = L-tryptophan + D-glyceraldehyde 3-phosphate + H2O;L-serine + indole => L-tryptophan + H2O"
"AI1"	"Q0050"	"Q0050"	13818	16322	"AI1"	NA	NA	NA
"YNL018C"	"YNL018C"	"YNL018C"	599936	601774	"Unknown"	NA	NA	NA
"POL5"	"YEL055C"	"YEL055C"	48471	51539	"POLymerase"	NA	NA	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"
"VMA5"	"YKL080W"	"YKL080W"	285030	286208	"VMA5"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	NA	"ADP + phosphate + 4 H+[out] <=> ATP + H2O + 3 H+[in]"
"YER156C"	"YER156C"	"YER156C"	483325	484341	"Unknown"	NA	NA	NA
"RNP1"	"YLL046C"	"YLL046C"	46714	47463	"RNP1"	NA	NA	NA
"CPA2"	"CPA2"	"YJR109C"	629585	632941	"carbamoyl phosphate synthetase"	"citrulline biosynthesis // glutamine degradation I // arginine biosynthesis // urea cycle"	NA	"2 ATP + hydrogencarbonate + ammonium => 2 ADP + carbamoyl phosphate + phosphate + 2 H+;2 ATP + L-glutamine + hydrogencarbonate + H2O => L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+"
"YMR158C-A"	"YMR158C-A"	"YMR158C-A"	573194	573331	"Unknown"	NA	NA	NA
"PMT3"	"PMT3"	"YOR321W"	916030	918291	"dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase"	"protein <I>O</i>-mannosylation I (yeast)"	"2.4.1.109"	"a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine) => a dolichyl phosphate + a [protein]-O-D-mannosyl-(L-serine/L-threonine) + H+"
"PMP2"	"YEL017C-A"	"YEL017C-A"	122798	122929	"Plasma Membrane Proteolipid"	NA	NA	NA
"YEL025C"	"YEL025C"	"YEL025C"	102581	106147	"Unknown"	NA	NA	NA
"COG8"	"YML071C"	"YML071C"	129749	131572	"Conserved Oligomeric Golgi complex"	NA	NA	NA
"PRP45"	"YAL032C"	"YAL032C"	83335	84474	"Pre-mRNA Processing"	NA	NA	NA
"YMR160W"	"YMR160W"	"YMR160W"	575066	577516	"Unknown"	NA	NA	NA
"AMN1"	"YBR158W"	"YBR158W"	556549	558198	"Antagonist of Mitotic exit Network"	NA	NA	NA
"CLB4"	"YLR210W"	"YLR210W"	562008	563390	"CycLin B"	NA	NA	NA
"YDL085C-A"	"YDL085C-A"	"YDL085C-A"	302464	302670	"Unknown"	NA	NA	NA
"TEP1"	"YNL128W"	"YNL128W"	382359	383663	"TEnsin-like Phosphatase"	NA	"3.1.3.67 "	"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate + H2O => a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + phosphate;a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate + H2O => a 1-phosphatidyl-1D-myo-inositol 4-phosphate + phosphate"
"IMP1"	"YMR150C"	"YMR150C"	561956	562528	"Inner Membrane Protease"	NA	NA	NA
"YML131W"	"YML131W"	"YML131W"	10198	11295	"Unknown"	NA	NA	NA
"YIP5"	"YGL161C"	"YGL161C"	199210	200142	"Ypt-Interacting Protein"	NA	NA	NA
"CDC10"	"YCR002C"	"YCR002C"	117380	118348	"Cell Division Cycle"	NA	NA	NA
"YDR262W"	"YDR262W"	"YDR262W"	993134	993952	"Unknown"	NA	NA	NA
"RPB2"	"YOR151C"	"YOR151C"	612997	616671	"RNA Polymerase B"	NA	NA	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"
"DDI3"	"YNL335W"	"YNL335W"	11452	12129	"DNA Damage Inducible"	NA	NA	NA
"YLR157W-E"	"YLR157W-E"	"YLR157W-E"	481873	482037	"Unknown"	NA	NA	NA
"PRR2"	"YDL214C"	"YDL214C"	74446	76545	"Pheromone Response Regulator"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"CLD1"	"YGR110W"	"YGR110W"	713709	715046	"CardioLipin-specific Deacylase"	NA	NA	NA
"YDR042C"	"YDR042C"	"YDR042C"	540601	541203	"Unknown"	NA	NA	NA
"HXT5"	"YHR096C"	"YHR096C"	294669	296447	"HeXose Transporter"	NA	NA	NA
"SCP1"	"YOR367W"	"YOR367W"	1026007	1026609	"S. cerevisiae CalPonin"	NA	NA	NA
"YLR455W"	"YLR455W"	"YLR455W"	1053629	1054543	"Unknown"	NA	NA	NA
"VPS41"	"YDR080W"	"YDR080W"	604008	606986	"Vacuolar Protein Sorting"	NA	NA	NA
"SDS3"	"YIL084C"	"YIL084C"	202276	203259	"Suppressor of Defective Silencing"	NA	NA	NA
"YDL121C"	"YDL121C"	"YDL121C"	245133	245582	"Unknown"	NA	NA	NA
"CLN2"	"YPL256C"	"YPL256C"	64977	66614	"CycLiN"	NA	NA	NA
"INM2"	"YDR287W"	"YDR287W"	1035995	1036873	"INositol Monophosphatase"	"<i>myo</i>-inositol biosynthesis"	NA	"1D-myo-inositol 3-monophosphate + H2O => myo-inositol + phosphate;1D-myo-inositol 4-monophosphate + H2O => myo-inositol + phosphate;a myo-inositol monophosphate + H2O => myo-inositol + phosphate"
"YLR271W"	"YLR271W"	"YLR271W"	682737	683561	"Unknown"	NA	NA	NA
"PRP21"	"YJL203W"	"YJL203W"	53341	54183	"Pre-mRNA Processing"	NA	NA	NA
"RPC82"	"YPR190C"	"YPR190C"	917077	919041	"RNA Polymerase C"	NA	NA	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"
"YCR102C"	"YCR102C"	"YCR102C"	304361	305467	"Unknown"	NA	NA	NA
"PDA1"	"PDA1"	"YER178W"	546817	548079	"pyruvate dehydrogenase E1 &alpha; subunit"	"pyruvate dehydrogenase complex"	NA	"pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+ => a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2"
"DEF1"	"YKL054C"	"YKL054C"	336537	338753	"RNAPII DEgradation Factor"	NA	NA	NA
"YLR149C"	"YLR149C"	"YLR149C"	437631	439823	"Unknown"	NA	NA	NA
"HYP2"	"YEL034W"	"YEL034W"	85676	86149	"HYPusine-containing protein"	NA	NA	NA
"ERG20"	"ERG20"	"YJL167W"	105014	106072	"Erg20"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis // hexaprenyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // geranyl diphosphate biosynthesis"	NA	"dimethylallyl diphosphate + isopentenyl diphosphate <=> geranyl diphosphate + diphosphate;geranyl diphosphate + isopentenyl diphosphate => (2E,6E)-farnesyl diphosphate + diphosphate"
"YCR099C"	"YCR099C"	"YCR099C"	300832	301299	"Unknown"	NA	NA	NA
"PAU17"	"YLL025W"	"YLL025W"	94747	95121	"seriPAUperin"	NA	NA	NA
"DNF1"	"YER166W"	"YER166W"	512744	517459	"Drs2 Neo1 Family"	NA	"3.6.3.1"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"
"YLR108C"	"YLR108C"	"YLR108C"	366667	368124	"Unknown"	NA	NA	NA
"SER1"	"SER1"	"YOR184W"	679357	680544	"phosphoserine transaminase"	"superpathway of serine and glycine biosynthesis I // serine biosynthesis from 3-phosphoglycerate"	NA	"(3R)-3-hydroxy-2-oxo-4 phosphonooxybutanoate + L-glutamate = 4-phospho-hydroxy-L-threonine + 2-oxoglutarate;3-phospho-hydroxypyruvate + L-glutamate => 2-oxoglutarate + 3-phospho-L-serine"
"SYN8"	"YAL014C"	"YAL014C"	128252	129019	"SYNtaxin"	NA	NA	NA
"YBR221W-A"	"YBR221W-A"	"YBR221W-A"	666538	666642	"Unknown"	NA	NA	NA
"GAL80"	"YML051W"	"YML051W"	171594	172901	"GALactose metabolism"	NA	NA	NA
"MDL1"	"YLR188W"	"YLR188W"	528300	530387	"MultiDrug resistance-Like"	NA	NA	NA
"YLL054C"	"YLL054C"	"YLL054C"	32673	35204	"Unknown"	NA	NA	NA
"MEC1"	"YBR136W"	"YBR136W"	505668	512774	"Mitosis Entry Checkpoint"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
