"Gene.Name"	"Accession.1"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"gene_standard_name"	"check"
"HUT1"	"YPL244C"	87014	88033	"Homolog of UDP-galactose Transporter"	""	"YPL244C"	TRUE
"SPO21"	"YOL091W"	145334	147163	"SPOrulation"	""	"YOL091W"	TRUE
"RPL39"	"YJL189W"	75933	76474	"Ribosomal Protein of the Large subunit"	""	"YJL189W"	TRUE
"RDS1"	"YCR106W"	310958	313456	"Regulator of Drug Sensitivity"	""	"YCR106W"	TRUE
"ARG5,6"	"ARG5,6"	295410	298001	"YER069W-MONOMER"	"arginine biosynthesis"	"YER069W"	FALSE
"COQ10"	"YOL008W"	310312	310935	"COenzyme Q"	""	"YOL008W"	TRUE
"EAF5"	"YEL018W"	121471	122310	"Esa1p-Associated Factor"	""	"YEL018W"	TRUE
"RTA1"	"YGR213C"	918512	919465	"Resistance To 7-Aminocholesterol"	""	"YGR213C"	TRUE
"PUF3"	"YLL013C"	122075	124714	"PUmilio-homology domain Family"	""	"YLL013C"	TRUE
"MNN9"	"YPL050C"	460779	461966	"MaNNosyltransferase"	""	"YPL050C"	TRUE
"GCY1"	"GCY1"	551114	552052	"aldo/keto reductases"	""	"YOR120W"	FALSE
"COR1"	"COR1"	134143	135516	"ubiquinol-cytochrome c reductase core subunit"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"YBL045C"	FALSE
"CGI121"	"YML036W"	205642	206293	"CGI121"	""	"YML036W"	TRUE
"AIM21"	"YIR003W"	360885	362924	"Altered Inheritance rate of Mitochondria"	""	"YIR003W"	TRUE
"PTC4"	"YBR125C"	487199	488380	"Phosphatase Two C"	""	"YBR125C"	TRUE
"CTS2"	"YDR371W"	1219413	1220948	"ChiTinaSe"	""	"YDR371W"	TRUE
"YNL092W"	"YNL092W"	450871	452073	"YNL092W"	""	"YNL092W"	TRUE
"SRP102"	"YKL154W"	161601	162335	"Signal Recognition Particle"	""	"YKL154W"	TRUE
"SCS3"	"YGL126W"	270997	272139	"Suppressor of Choline Sensitivity"	""	"YGL126W"	TRUE
"COX12"	"COX12"	224921	225172	"cytochrome c oxidase subunit VIb"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"YLR038C"	FALSE
"CEX1"	"YOR112W"	531508	533793	"Cytoplasmic EXport protein"	""	"YOR112W"	TRUE
"GAT1"	"YFL021W"	95966	97498	"GAT1"	""	"YFL021W"	TRUE
"INH1"	"YDL181W"	135179	135436	"INHibitor (of F1F0-ATPase)"	""	"YDL181W"	TRUE
"SLA1"	"YBL007C"	212632	216366	"Synthetic Lethal with ABP1"	""	"YBL007C"	TRUE
"GIC1"	"YHR061C"	221534	222478	"GTPase Interactive Component"	""	"YHR061C"	TRUE
"GCD7"	"YLR291C"	718317	719462	"General Control Nonderepressible"	""	"YLR291C"	TRUE
"RPC11"	"YDR045C"	547978	548310	"RNA Polymerase C"	""	"YDR045C"	TRUE
"GAS3"	"YMR215W"	696796	698370	"Glycophospholipid-Anchored Surface protein"	""	"YMR215W"	TRUE
"GRE1"	"YPL223C"	128632	129138	"Genes de Respuesta a Estres (spanish for stress responsive genes)"	""	"YPL223C"	TRUE
"NUF2"	"YOL069W"	198942	200297	"NUclear Filament-containing protein"	""	"YOL069W"	TRUE
"TPK1"	"YJL164C"	109966	111159	"Takashi's Protein Kinase"	""	"YJL164C"	TRUE
"PAT1"	"YCR077C"	250238	252628	"Protein Associated with Topoisomerase II"	""	"YCR077C"	TRUE
"GDA1"	"GDA1"	73771	75327	"guanosine diphosphatase of Golgi membrane"	""	"YEL042W"	FALSE
"YNR073C"	"YNR073C"	774792	776300	"YNR073C"	""	"YNR073C"	TRUE
"YDR379C-A"	"YDR379C-A"	1233278	1233517	"YDR379C-A"	""	"YDR379C-A"	TRUE
"TFG1"	"YGR186W"	867774	869981	"Transcription Factor G"	""	"YGR186W"	TRUE
"SFT1"	"YKL006C-A"	430198	430632	"Suppressor of Sed5 Ts"	""	"YKL006C-A"	TRUE
"SUV3"	"YPL029W"	495506	497719	"SUppressor of Var1"	""	"YPL029W"	TRUE
"RIB2"	"RIB2"	202696	204471	"DRAP deaminase"	"flavin biosynthesis III (fungi)"	"YOL066C"	FALSE
"COX1"	"COX1"	13818	26701	"cytochrome c oxidase subunit I"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"Q0045"	FALSE
"UBX2"	"YML013W"	244149	245903	"UBiquitin regulatory X"	""	"YML013W"	TRUE
"SLN1"	"YIL147C"	69791	73453	"Synthetic Lethal of N-end rule"	""	"YIL147C"	TRUE
"SIF2"	"YBR103W"	447709	449316	"Sir4p-Interacting Factor"	""	"YBR103W"	TRUE
"PAL1"	"YDR348C"	1170326	1171825	"Pears And Lemons"	""	"YDR348C"	TRUE
"IMP4"	"YNL075W"	485607	486479	"Interacting with Mpp10p"	""	"YNL075W"	TRUE
"RRN3"	"YKL125W"	208247	210130	"Regulation of RNA polymerase I"	""	"YKL125W"	TRUE
"VPS73"	"YGL104C"	308713	310173	"Vacuolar Protein Sorting"	""	"YGL104C"	TRUE
"TRP3"	"TRP3"	36699	38153	"TRyPtophan requiring"	"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // tryptophan biosynthesis"	"YKL211C"	FALSE
"YVC1"	"YOR087W"	487707	489734	"Yeast Vacuolar Conductance"	""	"YOR087W"	TRUE
"ACT1"	"YFL039C"	53260	54696	"ACTin"	""	"YFL039C"	TRUE
"SAS10"	"YDL153C"	181186	183018	"Something About Silencing"	""	"YDL153C"	TRUE
"YAR029W"	"YAR029W"	186321	186545	"YAR029W"	""	"YAR029W"	TRUE
"BRL1"	"YHR036W"	180345	181760	"BRr6 Like protein"	""	"YHR036W"	TRUE
"NEJ1"	"YLR265C"	674427	675455	"Nonhomologous End-Joining defective"	""	"YLR265C"	TRUE
"TPK2"	"YPL203W"	166256	167398	"Takashi's Protein Kinase"	""	"YPL203W"	TRUE
"MRPL24"	"YMR193W"	650036	650812	"Mitochondrial Ribosomal Protein, Large subunit"	""	"YMR193W"	TRUE
"RPB4"	"YJL140W"	150961	151626	"RNA Polymerase B"	""	"YJL140W"	TRUE
"IMG1"	"YCR046C"	209914	210423	"Integrity of Mitochondrial Genome"	""	"YCR046C"	TRUE
"GPI17"	"GPI17"	1331237	1332841	"Glycosyl Phosphatidyl Inositol 17"	""	"YDR434W"	FALSE
"FPK1"	"YNR047W"	708523	711204	"FliPase Kinase 1"	""	"YNR047W"	TRUE
"KRE28"	"YDR532C"	1499396	1500553	"KRE28"	""	"YDR532C"	TRUE
"NSR1"	"YGR159C"	806412	807656	"NSR1"	""	"YGR159C"	TRUE
"SRL3"	"YKR091W"	611525	612265	"Suppressor of rad53 Lethality"	""	"YKR091W"	TRUE
"CHL1"	"YPL008W"	539385	541970	"CHromosome Loss"	""	"YPL008W"	TRUE
"ACC1"	"ACC1"	654673	661374	"acetyl-CoA carboxylase subunit"	"biotin-carboxyl carrier protein assembly"	"YNR016C"	FALSE
"AEP3"	"YPL005W"	548486	550306	"ATPase ExPression"	""	"YPL005W"	TRUE
"CCW14"	"YLR390W-A"	903724	904440	"Covalently linked Cell Wall protein"	""	"YLR390W-A"	TRUE
"STH1"	"YIL126W"	117992	122071	"SNF Two Homolog"	""	"YIL126W"	TRUE
"RPG1"	"YBR079C"	395383	398277	"RPG1"	""	"YBR079C"	TRUE
"UTP4"	"YDR324C"	1114433	1116763	"U Three Protein"	""	"YDR324C"	TRUE
"POR1"	"YNL055C"	517994	518845	"PORin"	""	"YNL055C"	TRUE
"SCEI"	"Q0160"	61022	61729	"SCEI"	""	"Q0160"	TRUE
"LCL3"	"YGL085W"	349616	350440	"Long Chronological Lifespan 3"	""	"YGL085W"	TRUE
"CWP1"	"YKL096W"	261132	261851	"Cell Wall Protein"	""	"YKL096W"	TRUE
"MSA1"	"YOR066W"	449436	451325	"Mbf and Sbf Associated"	""	"YOR066W"	TRUE
"GPX1"	"GPX1"	389380	389883	"Glutathione peroxidase"	"glutathione redox reactions I"	"YKL026C"	FALSE
"SRF1"	"YDL133W"	222427	223740	"Spo14 Regulatory Factor"	""	"YDL133W"	TRUE
"YOS1"	"YER074W-A"	307653	308123	"Yip One Suppressor"	""	"YER074W-A"	TRUE
"DIA4"	"YHR011W"	127780	129120	"Digs Into Agar"	"tRNA charging"	"YHR011W"	TRUE
"OAF1"	"YAL051W"	48564	51707	"Oleate-Activated transcription Factor"	""	"YAL051W"	TRUE
"RTT10"	"YPL183C"	199495	202536	"Regulator of Ty1 Transposition"	""	"YPL183C"	TRUE
"ADY4"	"YLR227C"	590562	592043	"Accumulation of DYads"	""	"YLR227C"	TRUE
"CCT7"	"YJL111W"	207877	209529	"Chaperonin Containing TCP-1"	""	"YJL111W"	TRUE
"MLH1"	"YMR167W"	594886	597195	"MutL Homolog"	""	"YMR167W"	TRUE
"HEM1"	"HEM1"	927452	929098	"5-aminolevulinate synthase"	"superpathway of heme biosynthesis // tetrapyrrole biosynthesis // tetrapyrrole biosynthesis II"	"YDR232W"	FALSE
"MAK31"	"YCR020C-A"	154830	155096	"MAintenance of Killer"	""	"YCR020C-A"	TRUE
"PSP1"	"YDR505C"	1456695	1459220	"Polymerase SuPpressor"	""	"YDR505C"	TRUE
"TIM23"	"YNR017W"	662913	663581	"Translocase of the Inner Mitochondrial membrane"	""	"YNR017W"	TRUE
"MET1"	"YKR069W"	571612	573393	"uroporphyrinogen-III C-methyltransferase"	"siroheme biosynthesis"	"YKR069W"	TRUE
"FHN1"	"YGR131W"	754726	755250	"Functional Homologue of Nce102"	""	"YGR131W"	TRUE
"PSD1"	"PSD1"	316169	317671	"phosphatidylserine decarboxylase, mitochondria"	"phosphatidylethanolamine biosynthesis I"	"YNL169C"	FALSE
"PHR1"	"YOR386W"	1066839	1068536	"PHotoreactivation Repair deficient"	""	"YOR386W"	TRUE
"SIR3"	"YLR442C"	1019315	1022251	"Silent Information Regulator"	""	"YLR442C"	TRUE
"SLM1"	"YIL105C"	167581	169641	"Synthetic Lethal with Mss4"	""	"YIL105C"	TRUE
"SGF73"	"YGL066W"	377609	379582	"SaGa associated Factor, 73 kDa"	""	"YGL066W"	TRUE
"RSC3"	"YDR303C"	1068729	1071386	"Remodel the Structure of Chromatin"	""	"YDR303C"	TRUE
"PRP6"	"YBR055C"	344602	347301	"Pre-mRNA Processing"	""	"YBR055C"	TRUE
"ERI1"	"YPL096C-A"	366529	366735	"ER-associated Ras Inhibitor"	""	"YPL096C-A"	TRUE
"SAM50"	"YNL026W"	581920	583374	"Sorting and Assembly Machinery"	""	"YNL026W"	TRUE
"LHS1"	"YKL073W"	296430	299075	"Lumenal Hsp Seventy"	""	"YKL073W"	TRUE
"CUE5"	"YOR042W"	408425	409660	"Coupling of Ubiquitin conjugation to ER degradation"	""	"YOR042W"	TRUE
"HOC1"	"HOC1"	573981	575171	"mannosyltransferase"	""	"YJR075W"	FALSE
"RRP42"	"YDL111C"	263313	264110	"Ribosomal RNA Processing"	""	"YDL111C"	TRUE
"YER184C"	"YER184C"	556296	558680	"YER184C"	""	"YER184C"	TRUE
"VMR1"	"YHL035C"	27978	32756	"Vacuolar Multidrug Resistance"	""	"YHL035C"	TRUE
"FRT2"	"YAL028W"	92900	94486	"Functionally Related to TCP1"	""	"YAL028W"	TRUE
"MLH3"	"YPL164C"	239350	241497	"MLH3"	""	"YPL164C"	TRUE
"QRI5"	"YLR204W"	552270	552605	"QRI5"	""	"YLR204W"	TRUE
"GWT1"	"YJL091C"	261080	262552	"GPI-anchored Wall protein Transfer"	""	"YJL091C"	TRUE
"RPS16A"	"YMR143W"	551928	552903	"Ribosomal Protein of the Small subunit"	""	"YMR143W"	TRUE
"GCV1"	"GCV1"	484163	485365	"GCV1"	"folate interconversions // folate transformations // glycine biosynthesis II // glycine cleavage"	"YDR019C"	FALSE
"HMLALPHA2"	"YCL067C"	12386	13018	"Hidden Mat Left ALPHA"	""	"YCL067C"	TRUE
"VPS72"	"YDR485C"	1424820	1427207	"Vacuolar Protein Sorting"	""	"YDR485C"	TRUE
"PEX6"	"YNL329C"	19541	22633	"PEroXin"	""	"YNL329C"	TRUE
"NAP1"	"YKR048C"	525387	526640	"Nucleosome Assembly Protein"	""	"YKR048C"	TRUE
"VMA21"	"YGR105W"	698599	698832	"VMA21"	""	"YGR105W"	TRUE
"LCB1"	"LCB1"	859215	860891	"serine palmitoyltransferase"	"sphingolipid biosynthesis"	"YMR296C"	FALSE
"VTS1"	"YOR359W"	1011189	1012760	"VTi1-2 Suppressor"	""	"YOR359W"	TRUE
"RPN13"	"YLR421C"	965090	965560	"Regulatory Particle Non-ATPase"	""	"YLR421C"	TRUE
"RPN2"	"YIL075C"	217863	220700	"Regulatory Particle Non-ATPase"	""	"YIL075C"	TRUE
"DST1"	"YGL043W"	417483	418412	"DNA Strand Transfer"	""	"YGL043W"	TRUE
"RRP45"	"YDR280W"	1020747	1021664	"Ribosomal RNA Processing"	""	"YDR280W"	TRUE
"RKM3"	"YBR030W"	298292	299950	"Ribosomal lysine (K) Methyltransferase"	""	"YBR030W"	TRUE
"PZF1"	"YPR186C"	909733	911022	"Putative Zinc Finger"	""	"YPR186C"	TRUE
"RLP7"	"YNL002C"	626174	627142	"Ribosomal-Like Protein"	""	"YNL002C"	TRUE
"ELM1"	"YKL048C"	347214	349136	"ELongated Morphology"	""	"YKL048C"	TRUE
"YOR022C"	"YOR022C"	373710	375857	"YOR022C"	""	"YOR022C"	TRUE
"YUR1"	"YUR1"	151713	152999	"mannosyltransferase"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"	"YJL139C"	FALSE
"ASM4"	"YDL088C"	298417	300003	"ASM4"	""	"YDL088C"	TRUE
"SPT2"	"YER161C"	499347	500348	"SuPpressor of Ty's"	""	"YER161C"	TRUE
"RPS20"	"YHL015W"	75412	75777	"Ribosomal Protein of the Small subunit"	""	"YHL015W"	TRUE
"SPO7"	"YAL009W"	135854	136633	"SPOrulation"	""	"YAL009W"	TRUE
"KES1"	"YPL145C"	278395	279699	"KrE11-1 Suppressor"	""	"YPL145C"	TRUE
"TOS4"	"YLR183C"	520543	522012	"Target Of Sbf"	""	"YLR183C"	TRUE
"PMT1"	"PMT1"	287059	289512	"dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase"	"protein <I>O</i>-mannosylation I (yeast)"	"YDL095W"	FALSE
"STO1"	"YMR125W"	517539	520446	"Suppressor of top1"	""	"YMR125W"	TRUE
"SMC3"	"YJL074C"	299157	302849	"Structural Maintenance of Chromosomes"	""	"YJL074C"	TRUE
"SRO9"	"YCL037C"	57374	58678	"Suppressor of rho3"	""	"YCL037C"	TRUE
"RMT2"	"YDR465C"	1393336	1394574	"L-arginine N5 methyltransferase"	""	"YDR465C"	TRUE
"KRI1"	"YNL308C"	54122	55897	"KRRI-Interacting protein"	""	"YNL308C"	TRUE
"DBP7"	"YKR024C"	485144	487372	"Dead Box Protein"	""	"YKR024C"	TRUE
"NNF2"	"YGR089W"	656960	659770	"NNF2"	""	"YGR089W"	TRUE
"ILV2"	"ILV2"	484084	486147	"acetolactate synthase, catalytic subunit"	"isoleucine biosynthesis // superpathway of leucine, valine, and isoleucine biosynthesis // valine biosynthesis // (<i>R</i>)-acetoin biosynthesis I"	"YMR108W"	FALSE
"KRE5"	"YOR336W"	949773	953870	"Killer toxin REsistant"	""	"YOR336W"	TRUE
"KAP122"	"YGL016W"	461666	464911	"KAryoPherin"	""	"YGL016W"	TRUE
"DFG10"	"YIL049W"	260158	260919	"polyprenol reductase"	"dolichol and dolichyl phosphate biosynthesis"	"YIL049W"	TRUE
"MIC23"	"YBL107C"	9961	10551	"Mitochondrial Intermembrane space Cysteine motif protein"	""	"YBL107C"	TRUE
"RKM4"	"YDR257C"	969990	971474	"Ribosomal lysine (K) Methyltransferase"	""	"YDR257C"	TRUE
"NIP1"	"YMR309C"	892988	895426	"Nuclear ImPort"	""	"YMR309C"	TRUE
"TIF3"	"YPR163C"	868645	869955	"Translation Initiation Factor"	""	"YPR163C"	TRUE
"RRP6"	"YOR001W"	326832	329033	"Ribosomal RNA Processing"	""	"YOR001W"	TRUE
"MAK11"	"YKL021C"	397344	398750	"MAintenance of Killer"	""	"YKL021C"	TRUE
"UBC9"	"YDL064W"	337487	338070	"UBiquitin-Conjugating"	""	"YDL064W"	TRUE
"GTT1"	"GTT1"	423809	424513	"glutathione transferase"	""	"YIR038C"	FALSE
"MAL11"	"YGR289C"	1073963	1075813	"MALtose fermentation"	""	"YGR289C"	TRUE
"MAG1"	"YER142C"	455146	456036	"3-MethylAdenine DNA Glycosylase"	""	"YER142C"	TRUE
"HHO1"	"YPL127C"	308828	309604	"Histone H One"	""	"YPL127C"	TRUE
"BUD16"	"YEL029C"	96858	97796	"pyridoxine kinase"	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes) // pyridoxal 5'-phosphate salvage pathway // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"	"YEL029C"	TRUE
"THR4"	"THR4"	216697	218241	"threonine synthase"	"threonine biosynthesis from homoserine"	"YCR053W"	FALSE
"RRN5"	"YLR141W"	423683	424774	"Regulation of RNA polymerase I"	""	"YLR141W"	TRUE
"UBX6"	"YJL048C"	347447	348637	"UBiquitin regulatory X"	""	"YJL048C"	TRUE
"ATP25"	"YMR098C"	460771	462609	"ATPase"	""	"YMR098C"	TRUE
"ECM11"	"YDR446W"	1353725	1354633	"ExtraCellular Mutant"	""	"YDR446W"	TRUE
"STP22"	"YCL008C"	105696	106853	"STerile Pseudoreversion"	""	"YCL008C"	TRUE
"PAP1"	"YKR002W"	443232	444938	"Poly(A) Polymerase"	""	"YKR002W"	TRUE
"CAF40"	"YNL288W"	90303	91424	"CCR4 Associated Factor"	""	"YNL288W"	TRUE
"FPR3"	"FPR3"	120089	121324	"peptidyl-prolyl cis-trans isomerase (PPIase)"	""	"YML074C"	FALSE
"ART5"	"YGR068C"	625324	627084	"Arrestin-Related Trafficking adaptors"	""	"YGR068C"	TRUE
"RPN12"	"YFR052W"	252505	253329	"Regulatory Particle Non-ATPase"	""	"YFR052W"	TRUE
"RPL20B"	"YOR312C"	900250	901194	"Ribosomal Protein of the Large subunit"	""	"YOR312C"	TRUE
"CDC27"	"YBL084C"	67169	69445	"Cell Division Cycle"	""	"YBL084C"	TRUE
"SSM4"	"YIL030C"	296050	300009	"RING-type E3 ubiquitin transferase DOA10"	""	"YIL030C"	TRUE
"SEC61"	"YLR378C"	875736	877178	"SECretory"	""	"YLR378C"	TRUE
"YCL068C"	"YCL068C"	11503	12285	"Unknown"	""	"YCL068C"	TRUE
"COX20"	"YDR231C"	926293	926910	"Cytochrome c OXidase"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"YDR231C"	TRUE
"MRPL33"	"YMR286W"	841942	842202	"Mitochondrial Ribosomal Protein, Large subunit"	""	"YMR286W"	TRUE
"YLR012C"	"YLR012C"	169982	170281	"Unknown"	""	"YLR012C"	TRUE
"MEP3"	"YPR138C"	810984	812453	"MEP3"	""	"YPR138C"	TRUE
"CDC33"	"YOL139C"	60383	61024	"Cell Division Cycle"	""	"YOL139C"	TRUE
"YBR196C-A"	"YBR196C-A"	614024	614173	"Unknown"	""	"YBR196C-A"	TRUE
"DID4"	"YKL002W"	437778	438544	"Doa4-Independent Degradation"	""	"YKL002W"	TRUE
"PRM7"	"YDL039C"	381985	384081	"Pheromone-Regulated Membrane protein"	""	"YDL039C"	TRUE
"YKL033W-A"	"YKL033W-A"	374505	375215	"Unknown"	""	"YKL033W-A"	TRUE
"HIS5"	"HIS5"	142928	144085	"histidinol-phosphate aminotransferase"	"histidine biosynthesis"	"YIL116W"	FALSE
"GPM3"	"YOL056W"	223268	224179	"Glycerate PhosphoMutase"	"gluconeogenesis // glycolysis"	"YOL056W"	TRUE
"YBR197C"	"YBR197C"	615203	615856	"Unknown"	""	"YBR197C"	TRUE
"SCS2"	"YER120W"	401135	401869	"Suppressor of Choline Sensitivity"	""	"YER120W"	TRUE
"SAY1"	"YGR263C"	1017967	1019241	"steryl acetyl hydrolase"	""	"YGR263C"	TRUE
"YKL107W"	"YKL107W"	236141	237070	"Unknown"	""	"YKL107W"	TRUE
"CLF1"	"YLR117C"	382471	384534	"Crooked neck-Like Factor"	""	"YLR117C"	TRUE
"SYH1"	"YPL105C"	352863	355412	"SmY2 Homolog"	""	"YPL105C"	TRUE
"YBL059W"	"YBL059W"	110594	111244	"Unknown"	""	"YBL059W"	TRUE
"VPS20"	"YMR077C"	421484	422149	"Vacuolar Protein Sorting"	""	"YMR077C"	TRUE
"TSC10"	"TSC10"	738582	739544	"3-dehydrosphinganine reductase"	"sphingolipid biosynthesis"	"YBR265W"	FALSE
"YJR005C-A"	"YJR005C-A"	448477	448758	"Unknown"	""	"YJR005C-A"	TRUE
"MAL31"	"YBR298C"	802631	804475	"MALtose fermentation"	""	"YBR298C"	TRUE
"PET130"	"YJL023C"	397355	398398	"PETite colonies"	""	"YJL023C"	TRUE
"VHS3"	"VHS3"	427833	429857	"phosphopantothenoylcysteine decarboxylase subunit"	"coenzyme A biosynthesis"	"YOR054C"	FALSE
"IST1"	"YNL265C"	144280	145281	"Increased Sodium Tolerance"	""	"YNL265C"	TRUE
"RAD30"	"YDR419W"	1303174	1305072	"RADiation sensitive"	""	"YDR419W"	TRUE
"YAL037W"	"YAL037W"	74020	74823	"Unknown"	""	"YAL037W"	TRUE
"BUD9"	"YGR041W"	577487	579130	"BUD site selection"	""	"YGR041W"	TRUE
"TOR2"	"YKL203C"	55935	63359	"Target Of Rapamycin"	""	"YKL203C"	TRUE
"YJR079W"	"YJR079W"	580205	581239	"Unknown"	""	"YJR079W"	TRUE
"YPK9"	"YOR291W"	861175	865593	"Yeast PARK9"	""	"YOR291W"	TRUE
"FKS1"	"FKS1"	809997	815627	"1,3-beta-D-glucan synthase"	"1,3-&beta;-D-glucan biosynthesis"	"YLR342W"	FALSE
"RNR3"	"RNR3"	238099	240708	"ribonucleoside-diphosphate reductase, large subunit R3"	""	"YIL066C"	FALSE
"YIA6"	"YIL006W"	344062	345183	"YIA6"	""	"YIL006W"	TRUE
"SMC2"	"YFR031C"	216594	220106	"Structural Maintenance of Chromosomes"	""	"YFR031C"	TRUE
"YJL147C"	"YJL147C"	141419	142567	"Unknown"	""	"YJL147C"	TRUE
"YDR210W"	"YDR210W"	871074	871301	"YDR210W"	""	"YDR210W"	TRUE
"PTH2"	"YBL057C"	112801	113427	"Peptidyl-Trna Hydrolase"	""	"YBL057C"	TRUE
"AI5_BETA"	"Q0075"	24156	25255	"Unknown"	""	"Q0075"	TRUE
"RRG8"	"YPR116W"	758648	759481	"Required for Respiratory Growth"	""	"YPR116W"	TRUE
"ATG33"	"YLR356W"	840321	840914	"AuTophaGy related"	""	"YLR356W"	TRUE
"YIL105W-A"	"YIL105W-A"	167664	167804	"Unknown"	""	"YIL105W-A"	TRUE
"MCM22"	"YJR135C"	676059	676778	"MiniChromosome Maintenance"	""	"YJR135C"	TRUE
"RSN1"	"YMR266W"	798518	801379	"Rescue of Sro7 at high Nacl"	""	"YMR266W"	TRUE
"YPR117W"	"YPR117W"	760025	767494	"Unknown"	""	"YPR117W"	TRUE
"PPX1"	"PPX1"	499950	501143	"exopolyphosphatase"	""	"YHR201C"	FALSE
"MCH4"	"YOL119C"	94856	96361	"MonoCarboxylate transporter Homologue"	""	"YOL119C"	TRUE
"YIL152W"	"YIL152W"	56545	57252	"Unknown"	""	"YIL152W"	TRUE
"SSA4"	"YER103W"	364589	366517	"Stress-Seventy subfamily A"	""	"YER103W"	TRUE
"NOP1"	"YDL014W"	427364	428347	"NucleOlar Protein"	""	"YDL014W"	TRUE
"YPL257W"	"YPL257W"	63279	63860	"Unknown"	""	"YPL257W"	TRUE
"GIS3"	"YLR094C"	327730	329238	"GIg1-2 Suppressor"	""	"YLR094C"	TRUE
"MSE1"	"YOL033W"	263475	265085	"Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)"	"tRNA charging"	"YOL033W"	TRUE
"YHL015W-A"	"YHL015W-A"	74699	74782	"Unknown"	""	"YHL015W-A"	TRUE
"SAM37"	"YMR060C"	391532	392515	"Sorting and Assembly Machinery"	""	"YMR060C"	TRUE
"KEL2"	"YGR238C"	966039	968687	"KELch repeat"	""	"YGR238C"	TRUE
"MUK1"	"YPL070W"	420948	422786	"Unknown"	""	"YPL070W"	TRUE
"PPS1"	"YBR276C"	757620	760043	"Protein Phosphatase S phase"	""	"YBR276C"	TRUE
"SEC16"	"YPL085W"	387067	393654	"SECretory"	""	"YPL085W"	TRUE
"YHR140W"	"YHR140W"	380572	381291	"Unknown"	""	"YHR140W"	TRUE
"RPA49"	"YNL248C"	181361	182608	"RNA Polymerase A"	""	"YNL248C"	TRUE
"TKL2"	"TKL2"	474392	476437	"transketolase"	"pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)"	"YBR117C"	FALSE
"YOR376W-A"	"YOR376W-A"	1045196	1045351	"Unknown"	""	"YOR376W-A"	TRUE
"PRP18"	"YGR006W"	506070	506825	"Pre-mRNA Processing"	""	"YGR006W"	TRUE
"IRC24"	"YIR036C"	422074	422865	"Increased Recombination Centers"	""	"YIR036C"	TRUE
"YSC83"	"YHR017W"	138694	139851	"Unknown"	""	"YHR017W"	TRUE
"PNT1"	"YOR266W"	821023	822294	"PeNTamidine resistance"	""	"YOR266W"	TRUE
"SXM1"	"YDR395W"	1263324	1266158	"Suppressor of mRNA eXport Mutant"	""	"YDR395W"	TRUE
"YOR304C-A"	"YOR304C-A"	888520	888750	"Unknown"	""	"YOR304C-A"	TRUE
"SET5"	"YHR207C"	514905	516485	"SET domain-containing"	""	"YHR207C"	TRUE
"RPL17A"	"YKL180W"	109269	110129	"Ribosomal Protein of the Large subunit"	""	"YKL180W"	TRUE
"YGR174W-A"	"YGR174W-A"	846655	846741	"Unknown"	""	"YGR174W-A"	TRUE
"CCT6"	"YDR188W"	836421	838061	"Chaperonin Containing TCP-1"	""	"YDR188W"	TRUE
"CPR6"	"CPR6"	572096	573211	"cyclophilin 40"	""	"YLR216C"	FALSE
"YOR105W"	"YOR105W"	518195	518521	"Unknown"	""	"YOR105W"	TRUE
"SYT1"	"YPR095C"	721037	724717	"Suppressor of ypt3"	""	"YPR095C"	TRUE
"YFH7"	"YFR007W"	159299	160360	"YFH7"	""	"YFR007W"	TRUE
"YGR130C"	"YGR130C"	751394	753844	"Unknown"	""	"YGR130C"	TRUE
"VPS25"	"YJR102C"	619157	619765	"Vacuolar Protein Sorting"	""	"YJR102C"	TRUE
"POL12"	"YBL035C"	151493	153610	"POLymerase"	""	"YBL035C"	TRUE
"YOL029C"	"YOL029C"	269815	270420	"Unknown"	""	"YOL029C"	TRUE
"CPR2"	"CPR2"	218226	218843	"cyclophilin"	""	"YHR057C"	FALSE
"TMA10"	"YLR327C"	783127	783387	"Translation Machinery Associated"	""	"YLR327C"	TRUE
"YGR017W"	"YGR017W"	523787	524680	"Unknown"	""	"YGR017W"	TRUE
"PTP3"	"YER075C"	308413	311199	"Protein Tyrosine Phosphatase"	""	"YER075C"	TRUE
"DFG5"	"YMR238W"	746353	747729	"Defective for Filamentous Growth"	""	"YMR238W"	TRUE
"YNR063W"	"YNR063W"	746943	748766	"Unknown"	""	"YNR063W"	TRUE
"FMP25"	"YLR077W"	283872	285623	"Found in Mitochondrial Proteome"	""	"YLR077W"	TRUE
"WRS1"	"YOL097C"	136527	137825	"W (tryptophan) RS (tRNA synthetase)"	"tRNA charging"	"YOL097C"	TRUE
"YGL101W"	"YGL101W"	312193	312840	"Unknown"	""	"YGL101W"	TRUE
